,column_name,percent_available
326 MHz (WSRT),326 MHz (WSRT),0.0
151.3 GHz (GBT),151.3 GHz (GBT),0.0
234.1 GHz (GBT),234.1 GHz (GBT),0.0
F28x50LP (STIS),F28x50LP (STIS),0.0
22 cm (WSRT),22 cm (WSRT),0.0
14.60 GHz Effelsberg,14.60 GHz Effelsberg,0.0
22 GHz (VLBI),22 GHz (VLBI),0.0
42.00 GHz Effelsberg,42.00 GHz Effelsberg,0.0
L' (UKIRT/IRCAM3),L' (UKIRT/IRCAM3),0.0
38 MHz (8C),38 MHz (8C),0.0
L,L,0.0
U (ESO/WFI) AB,U (ESO/WFI) AB,0.0
240 MHz (GMRT),240 MHz (GMRT),0.0
96.4 GHz (GBT),96.4 GHz (GBT),0.0
20.1 GHz (ATCA),20.1 GHz (ATCA),0.0
F606W (HST/WFPC2),F606W (HST/WFPC2),0.0
H_2O (3_13-2_20) VLA,H_2O (3_13-2_20) VLA,0.0
11.7 microns Subaru,11.7 microns Subaru,0.0
1514 MHz (VLA),1514 MHz (VLA),0.0
Si II,Si II,0.0
[S XI] 1.920 (WHT),[S XI] 1.920 (WHT),0.0
Ne I 1.292 (WHT),Ne I 1.292 (WHT),0.0
Ne II 1.287 (WHT),Ne II 1.287 (WHT),0.0
i' (GMOS-S) AB,i' (GMOS-S) AB,0.0
5.95 GHz (EVLA),5.95 GHz (EVLA),0.0
32.5 GHz (EVLA),32.5 GHz (EVLA),0.0
235 MHz (GMRT),235 MHz (GMRT),0.0
148 GHz (ACT),148 GHz (ACT),0.0
75.6 GHz (GBT),75.6 GHz (GBT),0.0
14.5 GHz (UMRAO),14.5 GHz (UMRAO),0.0
6.65 GHz (Ceduna),6.65 GHz (Ceduna),0.0
HCN(3-2) (SMA),HCN(3-2) (SMA),0.0
HCO^+^(3-2) (SMA),HCO^+^(3-2) (SMA),0.0
810 microns (SMA),810 microns (SMA),0.0
540 microns,540 microns,0.0
390 microns,390 microns,0.0
134 microns,134 microns,0.0
[Ne II] 36.0 (IRS),[Ne II] 36.0 (IRS),0.0
Q1 (VLT),Q1 (VLT),0.0
14.9 microns ISOCAM,14.9 microns ISOCAM,0.0
6.8 microns (ISOCAM),6.8 microns (ISOCAM),0.0
M' (VLT/NACO),M' (VLT/NACO),0.0
[Na VII] (UKIRT),[Na VII] (UKIRT),0.0
[Ar VI] (UKIRT),[Ar VI] (UKIRT),0.0
M (VLT),M (VLT),0.0
[Si IX] (UKIRT),[Si IX] (UKIRT),0.0
L (VLT),L (VLT),0.0
H I 8-5 (UKIRT),H I 8-5 (UKIRT),0.0
[Al VI] (UKIRT),[Al VI] (UKIRT),0.0
[Si VII] line,[Si VII] line,0.0
J (VLT),J (VLT),0.0
3.5-15 keV (XMM),3.5-15 keV (XMM),0.0
17-80 keV (INTEGRAL),17-80 keV (INTEGRAL),0.0
R (Cousins) (ESO),R (Cousins) (ESO),0.0
20.4 microns,20.4 microns,0.0
Qa (Gemini),Qa (Gemini),0.0
Si2 (Gemini),Si2 (Gemini),0.0
0.2-8 keV (Chandra),0.2-8 keV (Chandra),0.0
3.5 mm (IRAM),3.5 mm (IRAM),0.0
1.4 mm (SMA),1.4 mm (SMA),0.0
1.2 mm (IRAM),1.2 mm (IRAM),0.0
0.35-2.0 keV (XMM),0.35-2.0 keV (XMM),0.0
U (Swift),U (Swift),0.0
101 GHz (NMA),101 GHz (NMA),0.0
8.4 microns,8.4 microns,0.0
89 GHz (IRAM),89 GHz (IRAM),0.0
165.3 GHz (GBT),165.3 GHz (GBT),0.0
82.6 GHz (GBT),82.6 GHz (GBT),0.0
N_2_ (ESO),N_2_ (ESO),0.0
5.8 microns (IRS),5.8 microns (IRS),0.0
12.9 microns (IRS),12.9 microns (IRS),0.0
CI(2-1) (PdBI),CI(2-1) (PdBI),0.0
CO(3-2) (OVRO),CO(3-2) (OVRO),0.0
350 GHz (SCUBA),350 GHz (SCUBA),0.0
Fe II (NTT),Fe II (NTT),0.0
HCN (J=4-3) (ALMA),HCN (J=4-3) (ALMA),0.0
HNC (J=4-3) (ALMA),HNC (J=4-3) (ALMA),0.0
252.762 GHz (PdBI),252.762 GHz (PdBI),0.0
H_2 S(4) 8.0 (IRS),H_2 S(4) 8.0 (IRS),0.0
[Ne VI] 7.7 (IRS),[Ne VI] 7.7 (IRS),0.0
PAH 6.22 (IRS),PAH 6.22 (IRS),0.0
153.704 GHz (PdBI),153.704 GHz (PdBI),0.0
540.90 MHz (GBT),540.90 MHz (GBT),0.0
H_2 S(4) line,H_2 S(4) line,0.0
2.5-12 keV (XMM),2.5-12 keV (XMM),0.0
134.969 GHz (NMA),134.969 GHz (NMA),0.0
F439W (HST),F439W (HST),0.0
12 mm (VLA),12 mm (VLA),0.0
HCO+ (J=4-3) (ALMA),HCO+ (J=4-3) (ALMA),0.0
K' (m_K' Int.),K' (m_K' Int.),0.0
Fe II,Fe II,0.0
900 microns (SMA),900 microns (SMA),0.0
z' (CFHT),z' (CFHT),0.0
Ca II,Ca II,0.0
19.5 microns (IRS),19.5 microns (IRS),0.0
19 microns (IRS),19 microns (IRS),0.0
0.35-1.55 keV (XMM),0.35-1.55 keV (XMM),0.0
968 MHz,968 MHz,0.0
0.15-3.5 keV (IPC),0.15-3.5 keV (IPC),0.0
6909 A (Keck I),6909 A (Keck I),0.0
609 MHz (WSRT),609 MHz (WSRT),0.0
11.5 microns (GTC),11.5 microns (GTC),0.0
0.5-4.5 keV,0.5-4.5 keV,0.0
0.2 keV (Einstein),0.2 keV (Einstein),0.0
0.3-3.5 keV Einstein,0.3-3.5 keV Einstein,0.0
4 keV (Einstein),4 keV (Einstein),0.0
8.1 GHz,8.1 GHz,0.0
3.2 mm,3.2 mm,0.0
[Ca VIII] 2.322 WHT,[Ca VIII] 2.322 WHT,0.0
O I 1.317 (WHT),O I 1.317 (WHT),0.0
[S VIII] 0.991 (WHT),[S VIII] 0.991 (WHT),0.0
0.2-1 keV (Swift),0.2-1 keV (Swift),0.0
[O II] 2471(HST),[O II] 2471(HST),0.0
U (Swift-UVOT),U (Swift-UVOT),0.0
L' (Gemini),L' (Gemini),0.0
Si4 (Gemini),Si4 (Gemini),0.0
UVW1 (Swift),UVW1 (Swift),0.0
4.99 GHz (VLBA),4.99 GHz (VLBA),0.0
0.3-3 keV (XMM),0.3-3 keV (XMM),0.0
0.2-10 keV (Chandra),0.2-10 keV (Chandra),0.0
^13^CO(1-0) (PdBI),^13^CO(1-0) (PdBI),0.0
HCO+ (1-0) (IRAM),HCO+ (1-0) (IRAM),0.0
HCN (1-0) (IRAM),HCN (1-0) (IRAM),0.0
236.797 GHz (IRAM),236.797 GHz (IRAM),0.0
245.905 GHz (IRAM),245.905 GHz (IRAM),0.0
302 GHz (SMA),302 GHz (SMA),0.0
HCN (5-4) (PdBI),HCN (5-4) (PdBI),0.0
HCO+ (J=5-4) (IRAM),HCO+ (J=5-4) (IRAM),0.0
HNC (J=5-4) (PdBI),HNC (J=5-4) (PdBI),0.0
CN (N=4-3) (PdBI),CN (N=4-3) (PdBI),0.0
[C I] P_1-P_0,[C I] P_1-P_0,0.0
HCN(6-5) (CARMA),HCN(6-5) (CARMA),0.0
HCO+(6-5) (CARMA),HCO+(6-5) (CARMA),0.0
HNC(6-5) (CARMA),HNC(6-5) (CARMA),0.0
CO(8-7) (CSO),CO(8-7) (CSO),0.0
201.166 GHz (IRAM),201.166 GHz (IRAM),0.0
CO(9-8) (CSO),CO(9-8) (CSO),0.0
CO(11-10) (CSO),CO(11-10) (CSO),0.0
CO(12-11) (CSO),CO(12-11) (CSO),0.0
Br{alpha} (Spitzer),Br{alpha} (Spitzer),0.0
3.3 microns Spitzer,3.3 microns Spitzer,0.0
Pa{alpha} (AKARI),Pa{alpha} (AKARI),0.0
Pa{alpha} (Spitzer),Pa{alpha} (Spitzer),0.0
Pa{beta) (Spitzer),Pa{beta) (Spitzer),0.0
Pa{beta} (AKARI),Pa{beta} (AKARI),0.0
H{alpha} (AKARI),H{alpha} (AKARI),0.0
u' (CFHT/MegaCam),u' (CFHT/MegaCam),0.0
g' (CFHT/MegaCam),g' (CFHT/MegaCam),0.0
B (INT/WFC),B (INT/WFC),0.0
CO(10-9) (CSO),CO(10-9) (CSO),0.0
153.132 GHz (IRAM),153.132 GHz (IRAM),0.0
113.4 GHz (IRAM),113.4 GHz (IRAM),0.0
110.7 GHz (CARMA),110.7 GHz (CARMA),0.0
81.551 GHz (IRAM),81.551 GHz (IRAM),0.0
163.088 GHz (IRAM),163.088 GHz (IRAM),0.0
203.850 GHz (IRAM),203.850 GHz (IRAM),0.0
244.603 GHz (IRAM),244.603 GHz (IRAM),0.0
962 microns (UKIRT),962 microns (UKIRT),0.0
5700 A,5700 A,0.0
244 MHz (GMRT),244 MHz (GMRT),0.0
85.5 GHz (NMA),85.5 GHz (NMA),0.0
880 microns (SMA),880 microns (SMA),0.0
Q17.7 (Subaru),Q17.7 (Subaru),0.0
PAH 17.4 (IRS),PAH 17.4 (IRS),0.0
[Ar II] 6.98 (IRS),[Ar II] 6.98 (IRS),0.0
1.365 GHz (VLA),1.365 GHz (VLA),0.0
1.7 GHz (VLA),1.7 GHz (VLA),0.0
4.5 GHz (VLA),4.5 GHz (VLA),0.0
L'(UKIRT),L'(UKIRT),0.0
28.5 GHz (BIMA),28.5 GHz (BIMA),0.0
20-30 keV (BeppoSAX),20-30 keV (BeppoSAX),0.0
84.04 GHz (NMA),84.04 GHz (NMA),0.0
H_2S (ALMA),H_2S (ALMA),0.0
R (ESO/VLT),R (ESO/VLT),0.0
1280 A (AB),1280 A (AB),0.0
605 MHz (GMRT),605 MHz (GMRT),0.0
1287 MHz (GMRT),1287 MHz (GMRT),0.0
CO(5-4) (PdBI),CO(5-4) (PdBI),0.0
87.0 GHz (GBT),87.0 GHz (GBT),0.0
90.8 GHz (IRAM),90.8 GHz (IRAM),0.0
320.2 MHz (GMRT),320.2 MHz (GMRT),0.0
786 MHz (WSRT),786 MHz (WSRT),0.0
F110W (HST) AB,F110W (HST) AB,0.0
94.4 GHz (GBT),94.4 GHz (GBT),0.0
Ly{alpha} + N V,Ly{alpha} + N V,0.0
95 GHz (ATCA),95 GHz (ATCA),0.0
O VI doublet (VLT),O VI doublet (VLT),0.0
5010 A (CTIO),5010 A (CTIO),0.0
[S III] (Herschel),[S III] (Herschel),0.0
K (HST),K (HST),0.0
g (Keck),g (Keck),0.0
0.25-5 keV (XMM),0.25-5 keV (XMM),0.0
9 GHz (ATCA),9 GHz (ATCA),0.0
H_2_ (12.2) (IRS),H_2_ (12.2) (IRS),0.0
13.6 microns (IRS),13.6 microns (IRS),0.0
V (VLT),V (VLT),0.0
B (VLT),B (VLT),0.0
185.60 MHz (MWA),185.60 MHz (MWA),0.0
UV_1650 (m_T),UV_1650 (m_T),0.0
0.302 GHz (VLA),0.302 GHz (VLA),0.0
0.333 GHz (VLA),0.333 GHz (VLA),0.0
1349.8 MHz (VLA),1349.8 MHz (VLA),0.0
1.66 GHz (VLA),1.66 GHz (VLA),0.0
4.535 GHz (VLA),4.535 GHz (VLA),0.0
4.985 GHz (VLA),4.985 GHz (VLA),0.0
82.7 GHz (GBT),82.7 GHz (GBT),0.0
105.4 GHz (GBT),105.4 GHz (GBT),0.0
154.88 MHz (MWA),154.88 MHz (MWA),0.0
23.4 GHz (GBT),23.4 GHz (GBT),0.0
25.1 GHz (GBT),25.1 GHz (GBT),0.0
31 GHz (OVRO),31 GHz (OVRO),0.0
24 GHz (ATCA),24 GHz (ATCA),0.0
F207M (HST),F207M (HST),0.0
18 GHz (ATCA),18 GHz (ATCA),0.0
C II 1335 (Sloan),C II 1335 (Sloan),0.0
0.608 GHz (WSRT),0.608 GHz (WSRT),0.0
1.630 GHz (VLA),1.630 GHz (VLA),0.0
4.816 GHz (VLA),4.816 GHz (VLA),0.0
4.866 GHz (VLA),4.866 GHz (VLA),0.0
8.434 GHz (VLA),8.434 GHz (VLA),0.0
2260 MHz,2260 MHz,0.0
8390 MHz,8390 MHz,0.0
32 GHz (MPIfR),32 GHz (MPIfR),0.0
20-100 keV(INTEGRAL),20-100 keV(INTEGRAL),0.0
7904 MHz (VLBA),7904 MHz (VLBA),0.0
8238 MHz (VLBA),8238 MHz (VLBA),0.0
8562 MHz (VLBA),8562 MHz (VLBA),0.0
8888 MHz (VLBA),8888 MHz (VLBA),0.0
327 MHz (VLBA),327 MHz (VLBA),0.0
0.6-6 keV Swift/XRT,0.6-6 keV Swift/XRT,0.0
3-20 keV (RXTE),3-20 keV (RXTE),0.0
CO(6-5) (JCMT),CO(6-5) (JCMT),0.0
2.4E+23 Hz (Fermi),2.4E+23 Hz (Fermi),0.0
606.68 MHz (GMRT),606.68 MHz (GMRT),0.0
554.74 MHz (GBT),554.74 MHz (GBT),0.0
37.9 GHz (GBT),37.9 GHz (GBT),0.0
88.0 GHz (GBT),88.0 GHz (GBT),0.0
113.8 GHz (GBT),113.8 GHz (GBT),0.0
151.7 GHz (GBT),151.7 GHz (GBT),0.0
O I 1302 (Sloan),O I 1302 (Sloan),0.0
15-200 keV BeppoSAX,15-200 keV BeppoSAX,0.0
34 GHz (VSA),34 GHz (VSA),0.0
111.914 GHz (CARMA),111.914 GHz (CARMA),0.0
2.35 microns,2.35 microns,0.0
3 microns (Spitzer),3 microns (Spitzer),0.0
OH 119 (ISO),OH 119 (ISO),0.0
24.5 microns MIRLIN,24.5 microns MIRLIN,0.0
107.57 GHz (NMA),107.57 GHz (NMA),0.0
OH 84 (ISO),OH 84 (ISO),0.0
87.06 GHz (NMA),87.06 GHz (NMA),0.0
86.52 GHz (NMA),86.52 GHz (NMA),0.0
4710 MHz (VLA),4710 MHz (VLA),0.0
H2O 67 (ISO),H2O 67 (ISO),0.0
0.615 GHz (GMRT),0.615 GHz (GMRT),0.0
4790 MHz (VLA),4790 MHz (VLA),0.0
2-200 keV (INTEGRAL),2-200 keV (INTEGRAL),0.0
N2 (AKARI),N2 (AKARI),0.0
N3 (AKARI),N3 (AKARI),0.0
93.1 GHz (CARMA),93.1 GHz (CARMA),0.0
88.9 GHz (CARMA),88.9 GHz (CARMA),0.0
3.5 cm (VLA),3.5 cm (VLA),0.0
H_2 = 1-0 S(5),H_2 = 1-0 S(5),0.0
He II (6-5),He II (6-5),0.0
K,K,0.0
5.8mcIRAC,5.8mcIRAC,0.0
0.3-5 keV (Chandra),0.3-5 keV (Chandra),0.0
L' (GeminiN),L' (GeminiN),0.0
F140W (HST) AB,F140W (HST) AB,0.0
F105W (HST) AB,F105W (HST) AB,0.0
[Fe II] (IRS),[Fe II] (IRS),0.0
1340 MHz (VLBA),1340 MHz (VLBA),0.0
H2O 66 (ISO),H2O 66 (ISO),0.0
8515 MHz,8515 MHz,0.0
14650 MHz,14650 MHz,0.0
PAH 33.1 (IRS),PAH 33.1 (IRS),0.0
PAH 18.9 (IRS),PAH 18.9 (IRS),0.0
PAH 13.5 (IRS),PAH 13.5 (IRS),0.0
4525 MHz (VLA),4525 MHz (VLA),0.0
OH 65 (ISO),OH 65 (ISO),0.0
V (Swift) AB,V (Swift) AB,0.0
0.3 GHz (VLA),0.3 GHz (VLA),0.0
85.6 GHz (NMA),85.6 GHz (NMA),0.0
6947 A (Keck I),6947 A (Keck I),0.0
Br{beta} (AKARI),Br{beta} (AKARI),0.0
B (MDM),B (MDM),0.0
F180M (HST/NICMOS),F180M (HST/NICMOS),0.0
41.5 GHz (GBT),41.5 GHz (GBT),0.0
CO (7-6) (CSO),CO (7-6) (CSO),0.0
86.9 GHz (GBT),86.9 GHz (GBT),0.0
136.2 GHz (GBT),136.2 GHz (GBT),0.0
CN(N=3-2) (PdBI),CN(N=3-2) (PdBI),0.0
17 GHz (ATCA),17 GHz (ATCA),0.0
^13^CO(3-2) (IRAM),^13^CO(3-2) (IRAM),0.0
H2O 101 (ISO),H2O 101 (ISO),0.0
92.9 GHz (IRAM),92.9 GHz (IRAM),0.0
1140 MHz (GBT),1140 MHz (GBT),0.0
3.9 GHz (RATAN),3.9 GHz (RATAN),0.0
19 GHz (ATCA),19 GHz (ATCA),0.0
14.4 microns ISOCAM,14.4 microns ISOCAM,0.0
6982 A (Keck I),6982 A (Keck I),0.0
Photographic g_POSS_,Photographic g_POSS_,0.0
1.0 GHz (RATAN),1.0 GHz (RATAN),0.0
11.1 GHz (RATAN),11.1 GHz (RATAN),0.0
i' (Wirth),i' (Wirth),0.0
858 MHz (WSRT),858 MHz (WSRT),0.0
U (Swift) AB,U (Swift) AB,0.0
151 MHz (CLFST),151 MHz (CLFST),0.0
46 MHz (LOFAR),46 MHz (LOFAR),0.0
B (NOT),B (NOT),0.0
43.34 GHz (VLA),43.34 GHz (VLA),0.0
100-200 keV INTEGRAL,100-200 keV INTEGRAL,0.0
21 GHz (ATCA),21 GHz (ATCA),0.0
24.4 GHz (VLBA),24.4 GHz (VLBA),0.0
N II (HST),N II (HST),0.0
1635 MHz (VLA),1635 MHz (VLA),0.0
J-CTIO,J-CTIO,0.0
2-10XMM,2-10XMM,0.0
238 GHz (ESO),238 GHz (ESO),0.0
4-200 keV (INTEGRAL),4-200 keV (INTEGRAL),0.0
Si II (HST),Si II (HST),0.0
Fe II191 (HST),Fe II191 (HST),0.0
C III] (HST),C III] (HST),0.0
Ca II (HST),Ca II (HST),0.0
Na I D (HST),Na I D (HST),0.0
g (Gunn),g (Gunn),0.0
83 GeV (MAGIC),83 GeV (MAGIC),0.0
113 GeV (MAGIC),113 GeV (MAGIC),0.0
85.3 GHz (IRAM),85.3 GHz (IRAM),0.0
2-7-CHANDRA,2-7-CHANDRA,0.0
128 GeV (MAGIC),128 GeV (MAGIC),0.0
186 GeV (MAGIC),186 GeV (MAGIC),0.0
OH 53 (ISO),OH 53 (ISO),0.0
0.5-9 keV (Chandra),0.5-9 keV (Chandra),0.0
235 GeV (MAGIC),235 GeV (MAGIC),0.0
3.43 microns,3.43 microns,0.0
476 GeV (MAGIC),476 GeV (MAGIC),0.0
332 MHz (GMRT),332 MHz (GMRT),0.0
17.5 microns,17.5 microns,0.0
106.634 GHz (CARMA),106.634 GHz (CARMA),0.0
4910 MHz (GMRT),4910 MHz (GMRT),0.0
11.1 microns,11.1 microns,0.0
1313 MHz (GMRT),1313 MHz (GMRT),0.0
B (Loiano),B (Loiano),0.0
863 MHz (ASKAP),863 MHz (ASKAP),0.0
Al III (HST),Al III (HST),0.0
2.14 mm (NIKA),2.14 mm (NIKA),0.0
u,u,0.0
HNC 1-0,HNC 1-0,0.0
i,i,0.0
C III (HST),C III (HST),0.0
4.85GHz,4.85GHz,0.0
8.4GHz,8.4GHz,0.0
z,z,0.0
21.6 microns,21.6 microns,0.0
U_n,U_n,0.0
W4,W4,0.0
G,G,0.0
R,R,0.0
g,g,0.0
Si III (HST),Si III (HST),0.0
W3,W3,0.0
W2,W2,0.0
W1,W1,0.0
NUV,NUV,0.0
FUV,FUV,0.0
1.2-2.0-CHANDRA,1.2-2.0-CHANDRA,0.0
0.5-1.2-CHANDRA,0.5-1.2-CHANDRA,0.0
0.2-0.5-CHANDRA,0.2-0.5-CHANDRA,0.0
0.5-7-CHANDRA,0.5-7-CHANDRA,0.0
r,r,0.0
O VII 22.1 A (XMM),O VII 22.1 A (XMM),0.03496503496504033
UVW1 (Swift-UVOT),UVW1 (Swift-UVOT),0.03496503496504033
UVM2 (Swift-UVOT),UVM2 (Swift-UVOT),0.03496503496504033
UVW2 (Swift/UVOT),UVW2 (Swift/UVOT),0.03496503496504033
EGRET (0.1-5 GeV),EGRET (0.1-5 GeV),0.03496503496504033
430 MHz,430 MHz,0.03496503496504033
O VIII K{alpha},O VIII K{alpha},0.03496503496504033
108.746 GHz (CARMA),108.746 GHz (CARMA),0.03496503496504033
u* (CFHT/Megacam) AB,u* (CFHT/Megacam) AB,0.03496503496504033
r' (CFHT/Megacam) AB,r' (CFHT/Megacam) AB,0.03496503496504033
N11.7 (Subaru),N11.7 (Subaru),0.03496503496504033
i' (CFHT/Megacam) AB,i' (CFHT/Megacam) AB,0.03496503496504033
7 microns (IRS),7 microns (IRS),0.03496503496504033
L (UKIRT),L (UKIRT),0.03496503496504033
F702W (HST/WFPC2),F702W (HST/WFPC2),0.03496503496504033
B11.7 (VLT),B11.7 (VLT),0.03496503496504033
8 GHz (VLA),8 GHz (VLA),0.03496503496504033
B10.7 (VLT),B10.7 (VLT),0.03496503496504033
70 GHz (Planck),70 GHz (Planck),0.03496503496504033
J7.9 (VLT),J7.9 (VLT),0.03496503496504033
1.65 GHz (MERLIN),1.65 GHz (MERLIN),0.03496503496504033
log nu(Hz) 13.48,log nu(Hz) 13.48,0.03496503496504033
log nu(Hz) 13.934,log nu(Hz) 13.934,0.03496503496504033
log nu(Hz) 14.50,log nu(Hz) 14.50,0.03496503496504033
g' (SOAR) AB,g' (SOAR) AB,0.03496503496504033
log nu(Hz) 14.70,log nu(Hz) 14.70,0.03496503496504033
20-60 keV (INTEGRAL),20-60 keV (INTEGRAL),0.03496503496504033
log nu(Hz) 14.85,log nu(Hz) 14.85,0.03496503496504033
log nu(Hz) 14.95,log nu(Hz) 14.95,0.03496503496504033
0.1-10 GeV (Fermi),0.1-10 GeV (Fermi),0.03496503496504033
169 MHz (LOFAR),169 MHz (LOFAR),0.03496503496504033
15300 MHz,15300 MHz,0.03496503496504033
UV_3150 (m_T),UV_3150 (m_T),0.03496503496504033
160 microns Herschel,160 microns Herschel,0.03496503496504033
log nu(Hz) 14.90,log nu(Hz) 14.90,0.03496503496504033
0.1-2 keV (ROSAT),0.1-2 keV (ROSAT),0.03496503496504033
2.64 GHz Effelsberg,2.64 GHz Effelsberg,0.03496503496504033
44 GHz (Planck),44 GHz (Planck),0.03496503496504033
143 GHz (Planck),143 GHz (Planck),0.03496503496504033
1.45 GHz (VLA),1.45 GHz (VLA),0.03496503496504033
130 MHz (LOFAR),130 MHz (LOFAR),0.03496503496504033
138 MHz (LOFAR),138 MHz (LOFAR),0.03496503496504033
3.3 microns (Subaru),3.3 microns (Subaru),0.03496503496504033
146 MHz (LOFAR),146 MHz (LOFAR),0.03496503496504033
0.3-1 keV (XMM),0.3-1 keV (XMM),0.03496503496504033
154 MHz (LOFAR),154 MHz (LOFAR),0.03496503496504033
[Si X] 1.430 (WHT),[Si X] 1.430 (WHT),0.03496503496504033
161 MHz (LOFAR),161 MHz (LOFAR),0.03496503496504033
F110W (HST),F110W (HST),0.03496503496504033
[O II] 7330 Subaru,[O II] 7330 Subaru,0.03496503496504033
[O II] 7320 Subaru,[O II] 7320 Subaru,0.03496503496504033
[Ar III] 7136 Subaru,[Ar III] 7136 Subaru,0.03496503496504033
[Fe VII] 6087 Subaru,[Fe VII] 6087 Subaru,0.03496503496504033
B9.7 (VLT),B9.7 (VLT),0.03496503496504033
3.6 cm (Effelsberg),3.6 cm (Effelsberg),0.03496503496504033
23.1 GHz (OVRO),23.1 GHz (OVRO),0.03496503496504033
B (Mt. Lemmon),B (Mt. Lemmon),0.03496503496504033
I (VLT) AB,I (VLT) AB,0.03496503496504033
6.7 GHz (WARK30M),6.7 GHz (WARK30M),0.03496503496504033
0.2-2.4 keV Chandra,0.2-2.4 keV Chandra,0.03496503496504033
6970 A (Keck I),6970 A (Keck I),0.03496503496504033
8.1 GHz (VLBA),8.1 GHz (VLBA),0.03496503496504033
0.3-2keV,0.3-2keV,0.03496503496504033
Z_aper_ (INT/WFC),Z_aper_ (INT/WFC),0.03496503496504033
V (Xinglong),V (Xinglong),0.03496503496504033
43 GHz (VLBI),43 GHz (VLBI),0.03496503496504033
580 MHz,580 MHz,0.03496503496504033
15-136 keV BeppoSAX,15-136 keV BeppoSAX,0.03496503496504033
8-24 keV (NuSTAR),8-24 keV (NuSTAR),0.03496503496504033
3-24 keV (NuSTAR),3-24 keV (NuSTAR),0.03496503496504033
3-8 keV (NuSTAR),3-8 keV (NuSTAR),0.03496503496504033
11.4 microns,11.4 microns,0.03496503496504033
92 cm (WENSS),92 cm (WENSS),0.03496503496504033
CO (4-3) (PdBI),CO (4-3) (PdBI),0.03496503496504033
[O III]+H{beta},[O III]+H{beta},0.03496503496504033
NB_J (CFHT) AB,NB_J (CFHT) AB,0.03496503496504033
Y (CFHT),Y (CFHT),0.03496503496504033
100 GeV (HESS),100 GeV (HESS),0.03496503496504033
215 GHz (VLBI),215 GHz (VLBI),0.03496503496504033
8 GHz (VLBA),8 GHz (VLBA),0.03496503496504033
PAH 16.4 (IRS),PAH 16.4 (IRS),0.03496503496504033
237.19 MHz (GMRT),237.19 MHz (GMRT),0.03496503496504033
U (XMM-OM),U (XMM-OM),0.03496503496504033
8.49 GHz (VLA),8.49 GHz (VLA),0.03496503496504033
4.5-12.0 keV (XMM),4.5-12.0 keV (XMM),0.03496503496504033
1.54 GHz (VLBA+GBT),1.54 GHz (VLBA+GBT),0.03496503496504033
3mm (IRAM),3mm (IRAM),0.03496503496504033
I (JKT),I (JKT),0.03496503496504033
0.4-10 keV (XMM),0.4-10 keV (XMM),0.03496503496504033
u (Keck) AB,u (Keck) AB,0.03496503496504033
0.86 mm (ALMA),0.86 mm (ALMA),0.03496503496504033
6.1 GHz (ATCA),6.1 GHz (ATCA),0.03496503496504033
2.3 GHz (ATCA),2.3 GHz (ATCA),0.03496503496504033
14 GHz,14 GHz,0.03496503496504033
B (XMM-OM),B (XMM-OM),0.03496503496504033
140 mcicrons (AKARI),140 mcicrons (AKARI),0.03496503496504033
