,column_name,percent_available
L' (AAO),L' (AAO),0.03496503496504033
4.5 microns (ISO),4.5 microns (ISO),0.03496503496504033
3.5 mm (NRAO),3.5 mm (NRAO),0.03496503496504033
65 microns (AKARI),65 microns (AKARI),0.03496503496504033
6620A,6620A,0.03496503496504033
10.4 microns TIMMI2,10.4 microns TIMMI2,0.03496503496504033
8.46 GHz (VLA),8.46 GHz (VLA),0.03496503496504033
^13^CO(2-1) (SMA),^13^CO(2-1) (SMA),0.03496503496504033
22.46 GHz (VLA),22.46 GHz (VLA),0.03496503496504033
F300W (HST) AB,F300W (HST) AB,0.03496503496504033
1.335 GHz (VLA),1.335 GHz (VLA),0.03496503496504033
62 MHz (LOFAR),62 MHz (LOFAR),0.03496503496504033
He I 2.060 (WHT),He I 2.060 (WHT),0.03496503496504033
[Ar III] 8.9 Spitzer,[Ar III] 8.9 Spitzer,0.03496503496504033
z (PAN-STARRS1) AB,z (PAN-STARRS1) AB,0.03496503496504033
i (PAN-STARRS1) AB,i (PAN-STARRS1) AB,0.03496503496504033
400 GeV (Whipple),400 GeV (Whipple),0.03496503496504033
6650A,6650A,0.03496503496504033
6776A,6776A,0.03496503496504033
Si-2 (GeminiN),Si-2 (GeminiN),0.03496503496504033
22.5 microns,22.5 microns,0.03496503496504033
1100 microns,1100 microns,0.03496503496504033
U (OAN-SPM),U (OAN-SPM),0.03496503496504033
19.19 mm (ALMA),19.19 mm (ALMA),0.03496503496504033
3.1 GHz (ATA),3.1 GHz (ATA),0.03496503496504033
153 MHz (GMRT),153 MHz (GMRT),0.03496503496504033
7.6 cm (RATAN),7.6 cm (RATAN),0.03496503496504033
40 GHz (FCRAO),40 GHz (FCRAO),0.03496503496504033
105 microns (ISO),105 microns (ISO),0.03496503496504033
B (WIYN),B (WIYN),0.03496503496504033
Si5 (GeminiS),Si5 (GeminiS),0.03496503496504033
1350 microns (SCUBA),1350 microns (SCUBA),0.03496503496504033
[O III] 4960 (HST),[O III] 4960 (HST),0.03496503496504033
CCD grism r_4,CCD grism r_4,0.03496503496504033
He I + H{zeta},He I + H{zeta},0.03496503496504033
H{epsilon},H{epsilon},0.03496503496504033
H_2 S(7) line (IRS),H_2 S(7) line (IRS),0.03496503496504033
F555W (HST),F555W (HST),0.03496503496504033
[Fe III],[Fe III],0.03496503496504033
[Ar IV],[Ar IV],0.03496503496504033
[Fe VII],[Fe VII],0.03496503496504033
F (098 + RG610),F (098 + RG610),0.03496503496504033
[N I],[N I],0.03496503496504033
P11,P11,0.03496503496504033
Pa{alpha} (NTT),Pa{alpha} (NTT),0.03496503496504033
[S II],[S II],0.03496503496504033
UVW2 (Swift-UVOT),UVW2 (Swift-UVOT),0.03496503496504033
96 GHz (NMA),96 GHz (NMA),0.03496503496504033
347 GHz (SCUBA),347 GHz (SCUBA),0.03496503496504033
65 microns (ISO),65 microns (ISO),0.03496503496504033
43 GHz (VLBA),43 GHz (VLBA),0.03496503496504033
H_2 1-0S(2) 2.032,H_2 1-0S(2) 2.032,0.03496503496504033
Br{delta} 1.944 WHT,Br{delta} 1.944 WHT,0.03496503496504033
H_2 1-0S(7) 1.747,H_2 1-0S(7) 1.747,0.03496503496504033
F555W (HST) AB,F555W (HST) AB,0.03496503496504033
[Fe II] 1.533 (WHT),[Fe II] 1.533 (WHT),0.03496503496504033
[Fe II] 1.321 (WHT),[Fe II] 1.321 (WHT),0.03496503496504033
[P II] 1.188 (WHT),[P II] 1.188 (WHT),0.03496503496504033
He II 1.163 (WHT),He II 1.163 (WHT),0.03496503496504033
111 MHZ (LPA),111 MHZ (LPA),0.03496503496504033
F547M (HST),F547M (HST),0.03496503496504033
[P II] 1.147 (WHT),[P II] 1.147 (WHT),0.03496503496504033
[Ne V] 14 microns,[Ne V] 14 microns,0.03496503496504033
[Ne V] 24 microns,[Ne V] 24 microns,0.03496503496504033
[S II] 1.032 (WHT),[S II] 1.032 (WHT),0.03496503496504033
He II 1.012 (WHT),He II 1.012 (WHT),0.03496503496504033
O I (NTT),O I (NTT),0.03496503496504033
Pa{gamma} (NTT),Pa{gamma} (NTT),0.03496503496504033
11 cm (NRAO),11 cm (NRAO),0.03496503496504033
13 cm (VLBI),13 cm (VLBI),0.03496503496504033
6888 A (Keck I),6888 A (Keck I),0.03496503496504033
ISOCAM 15 microns,ISOCAM 15 microns,0.03496503496504033
15.2 GHz (RT),15.2 GHz (RT),0.03496503496504033
AlIII (GTC),AlIII (GTC),0.03496503496504033
20 microns (ISO),20 microns (ISO),0.03496503496504033
0.3-12 keV (XMM),0.3-12 keV (XMM),0.03496503496504033
[N II] (Herschel),[N II] (Herschel),0.03496503496504033
2 GHz (ATCA),2 GHz (ATCA),0.03496503496504033
140.969 GHz (NMA),140.969 GHz (NMA),0.03496503496504033
4750 MHz (Effelsbg),4750 MHz (Effelsbg),0.03496503496504033
[O I] 63.2 (PACS),[O I] 63.2 (PACS),0.03496503496504033
4.8 microns (ISO),4.8 microns (ISO),0.03496503496504033
1560A,1560A,0.03496503496504033
Fe II + Pa{epsilon},Fe II + Pa{epsilon},0.03496503496504033
0.4-4 keV (BeppoSAX),0.4-4 keV (BeppoSAX),0.03496503496504033
He I (NTT),He I (NTT),0.03496503496504033
168.3 MHz (MWA),168.3 MHz (MWA),0.03496503496504033
146.969 GHz (NMA),146.969 GHz (NMA),0.03496503496504033
8.64 GHz (ATCA),8.64 GHz (ATCA),0.03496503496504033
HC3N 10-9,HC3N 10-9,0.03496503496504033
10.75 microns Gemini,10.75 microns Gemini,0.03496503496504033
22 GHz (VLA),22 GHz (VLA),0.03496503496504033
270 GHz,270 GHz,0.06993006993006645
PAH 12.7 (IRS),PAH 12.7 (IRS),0.06993006993006645
m(2000),m(2000),0.06993006993006645
Si2 (GeminiS),Si2 (GeminiS),0.06993006993006645
375 GHz,375 GHz,0.06993006993006645
H{alpha} 12.4 (IRS),H{alpha} 12.4 (IRS),0.06993006993006645
87.3 GHz (FCRAO),87.3 GHz (FCRAO),0.06993006993006645
[O III] 4363 (SSO),[O III] 4363 (SSO),0.06993006993006645
Pa{delta} (NTT),Pa{delta} (NTT),0.06993006993006645
6.4 keV Fe K{alpha},6.4 keV Fe K{alpha},0.06993006993006645
966 MHz,966 MHz,0.06993006993006645
10.2 microns,10.2 microns,0.06993006993006645
1000 A (FUSE),1000 A (FUSE),0.06993006993006645
0.1-10 keV (Chandra),0.1-10 keV (Chandra),0.06993006993006645
Si III] 1892,Si III] 1892,0.06993006993006645
Na I + He I,Na I + He I,0.06993006993006645
I (VLT),I (VLT),0.06993006993006645
z' (CFHT/Megacam) AB,z' (CFHT/Megacam) AB,0.06993006993006645
89600 MHz,89600 MHz,0.06993006993006645
CO(1-0) (CARMA),CO(1-0) (CARMA),0.06993006993006645
B (CFHT/CFH12K) AB,B (CFHT/CFH12K) AB,0.06993006993006645
0.2-12 keV (XMM),0.2-12 keV (XMM),0.06993006993006645
H_2_ (9.7) (IRS),H_2_ (9.7) (IRS),0.06993006993006645
1600 A (HST/ACS) AB,1600 A (HST/ACS) AB,0.06993006993006645
Si IV + O IV],Si IV + O IV],0.06993006993006645
0.35-1.0 keV Chandra,0.35-1.0 keV Chandra,0.06993006993006645
318 MHz,318 MHz,0.06993006993006645
31.25 GHz (GBT),31.25 GHz (GBT),0.06993006993006645
34.75 GHz (GBT),34.75 GHz (GBT),0.06993006993006645
80 microns (ISO),80 microns (ISO),0.06993006993006645
3294 A,3294 A,0.06993006993006645
1799 A,1799 A,0.06993006993006645
He II 1640 (VLT),He II 1640 (VLT),0.06993006993006645
F225W (HST) AB,F225W (HST) AB,0.06993006993006645
F275W (HST) AB,F275W (HST) AB,0.06993006993006645
F336W (HST) AB,F336W (HST) AB,0.06993006993006645
4-20 keV (INTEGRAL),4-20 keV (INTEGRAL),0.06993006993006645
N V doublet (VLT),N V doublet (VLT),0.06993006993006645
12.9 microns TIMMI2,12.9 microns TIMMI2,0.06993006993006645
14-170 keV (Swift),14-170 keV (Swift),0.06993006993006645
262 GHz (ESO),262 GHz (ESO),0.06993006993006645
B (NTT),B (NTT),0.06993006993006645
27.75 GHz (GBT),27.75 GHz (GBT),0.06993006993006645
b (BATC),b (BATC),0.06993006993006645
[N II],[N II],0.06993006993006645
15.7 GHz (AMI LA),15.7 GHz (AMI LA),0.06993006993006645
18.5 GHz (ATCA),18.5 GHz (ATCA),0.06993006993006645
F336W (HST/WFPC2),F336W (HST/WFPC2),0.06993006993006645
1.6 GHz (EVN),1.6 GHz (EVN),0.06993006993006645
p (BATC),p (BATC),0.06993006993006645
o (BATC),o (BATC),0.06993006993006645
n (BATC),n (BATC),0.06993006993006645
43.1 GHz (VLBA),43.1 GHz (VLBA),0.06993006993006645
H' (Johnson),H' (Johnson),0.06993006993006645
B (OHP),B (OHP),0.06993006993006645
10.7 microns Spitzer,10.7 microns Spitzer,0.06993006993006645
h (BATC),h (BATC),0.06993006993006645
g (BATC),g (BATC),0.06993006993006645
f (BATC),f (BATC),0.06993006993006645
d (BATC),d (BATC),0.06993006993006645
c (BATC),c (BATC),0.06993006993006645
CO(13-12) (CSO),CO(13-12) (CSO),0.06993006993006645
1.67 GHz (VLBA),1.67 GHz (VLBA),0.06993006993006645
38.25 GHz (GBT),38.25 GHz (GBT),0.06993006993006645
8.48 GHz,8.48 GHz,0.06993006993006645
8.35 GHz Effelsberg,8.35 GHz Effelsberg,0.06993006993006645
K (UKIRT) AB,K (UKIRT) AB,0.06993006993006645
7.3 microns (ISO),7.3 microns (ISO),0.06993006993006645
1.27 microns,1.27 microns,0.06993006993006645
8 GHz (GBI),8 GHz (GBI),0.06993006993006645
11.85 microns (VLT),11.85 microns (VLT),0.06993006993006645
Br{alpha} (AKARI),Br{alpha} (AKARI),0.06993006993006645
10.1 microns,10.1 microns,0.06993006993006645
2 GHz (GBI),2 GHz (GBI),0.06993006993006645
log nu(Hz) 14.55,log nu(Hz) 14.55,0.06993006993006645
U (KPNO),U (KPNO),0.06993006993006645
606 MHz,606 MHz,0.06993006993006645
log nu(Hz) 14.45,log nu(Hz) 14.45,0.06993006993006645
9.5 mm (NRAO),9.5 mm (NRAO),0.06993006993006645
H_2S(6) (Spitzer),H_2S(6) (Spitzer),0.06993006993006645
610 MHz (GMRT),610 MHz (GMRT),0.06993006993006645
7.7 GHz (RATAN),7.7 GHz (RATAN),0.06993006993006645
11.2 GHz (RATAN),11.2 GHz (RATAN),0.06993006993006645
[O III] 51.81 (PACS),[O III] 51.81 (PACS),0.06993006993006645
0.5-12 keV (XMM),0.5-12 keV (XMM),0.10489510489510678
1150 A (FUSE),1150 A (FUSE),0.10489510489510678
PAH 5.7 (Spitzer),PAH 5.7 (Spitzer),0.10489510489510678
100 microns (ISO),100 microns (ISO),0.10489510489510678
1350 A (HST/FOS),1350 A (HST/FOS),0.10489510489510678
4.86 GHz (VLA),4.86 GHz (VLA),0.10489510489510678
[O III](52) (ISO),[O III](52) (ISO),0.10489510489510678
[S III] 33.4 Spitzer,[S III] 33.4 Spitzer,0.10489510489510678
4.5 cm,4.5 cm,0.10489510489510678
m (BATC),m (BATC),0.10489510489510678
77 GHz (MRT),77 GHz (MRT),0.10489510489510678
57 microns (ISO),57 microns (ISO),0.10489510489510678
F450W (HST),F450W (HST),0.10489510489510678
H_2_ (1-0) S(2) line,H_2_ (1-0) S(2) line,0.10489510489510678
1.1 microns (NICMOS),1.1 microns (NICMOS),0.10489510489510678
0.5-5 keV (Chandra),0.5-5 keV (Chandra),0.10489510489510678
57.5 MHz,57.5 MHz,0.10489510489510678
1 mm (IRAM 30m),1 mm (IRAM 30m),0.10489510489510678
90 microns (ISO),90 microns (ISO),0.10489510489510678
23.7 microns (MIPS),23.7 microns (MIPS),0.10489510489510678
0.2-10 keV (XMM),0.2-10 keV (XMM),0.10489510489510678
22 GHz,22 GHz,0.10489510489510678
37 GHz (MRO),37 GHz (MRO),0.10489510489510678
15064 MHz,15064 MHz,0.10489510489510678
4585 MHz,4585 MHz,0.10489510489510678
22.25 MHz,22.25 MHz,0.10489510489510678
10 MHz,10 MHz,0.10489510489510678
H_2S(5) (Spitzer),H_2S(5) (Spitzer),0.10489510489510678
2.5 GHz (ATCA),2.5 GHz (ATCA),0.10489510489510678
15 microns (ISOCAM),15 microns (ISOCAM),0.10489510489510678
[Ar II] (Spitzer),[Ar II] (Spitzer),0.10489510489510678
14.7 MHz,14.7 MHz,0.10489510489510678
12.6 MHz,12.6 MHz,0.10489510489510678
Si-5 (GeminiN),Si-5 (GeminiN),0.10489510489510678
N (GeminiS),N (GeminiS),0.10489510489510678
V (NTT),V (NTT),0.10489510489510678
H_2S(0) (Spitzer),H_2S(0) (Spitzer),0.10489510489510678
NEII_2 (VLT),NEII_2 (VLT),0.10489510489510678
3.3 PAH (AKARI),3.3 PAH (AKARI),0.10489510489510678
H_2_ (2-1) S(1) line,H_2_ (2-1) S(1) line,0.10489510489510678
R (Keck),R (Keck),0.10489510489510678
R (KPNO),R (KPNO),0.10489510489510678
468 MHz,468 MHz,0.10489510489510678
18.3 microns GeminiS,18.3 microns GeminiS,0.10489510489510678
[C I] 0.985 (WHT),[C I] 0.985 (WHT),0.10489510489510678
226 GHz (NRAO),226 GHz (NRAO),0.10489510489510678
50 GeV-2 TeV (Fermi),50 GeV-2 TeV (Fermi),0.10489510489510678
R' (Cousins),R' (Cousins),0.10489510489510678
i (KPNO),i (KPNO),0.10489510489510678
u (KPNO),u (KPNO),0.10489510489510678
H_2S(3) (Spitzer),H_2S(3) (Spitzer),0.10489510489510678
24 GHz (VLBA),24 GHz (VLBA),0.10489510489510678
120 microns (ISO),120 microns (ISO),0.1398601398601329
y (PAN-STARRS1) AB,y (PAN-STARRS1) AB,0.1398601398601329
L' (KPNO),L' (KPNO),0.1398601398601329
L (ESO/SPM),L (ESO/SPM),0.1398601398601329
1.6 microns (NICMOS),1.6 microns (NICMOS),0.1398601398601329
4.755 GHz (GBT),4.755 GHz (GBT),0.1398601398601329
F330W (HST/ACS),F330W (HST/ACS),0.1398601398601329
V (ESO-MPI),V (ESO-MPI),0.1398601398601329
10.63 GHz (ARO),10.63 GHz (ARO),0.1398601398601329
H_2S(2) (Spitzer),H_2S(2) (Spitzer),0.1398601398601329
[Fe II] 1.679 (WHT),[Fe II] 1.679 (WHT),0.1398601398601329
B (Subaru),B (Subaru),0.1398601398601329
3.4 microns WISE AB,3.4 microns WISE AB,0.1398601398601329
[NeIII] 15.6 microns,[NeIII] 15.6 microns,0.1398601398601329
1.16 mm,1.16 mm,0.1398601398601329
180 microns (ISO),180 microns (ISO),0.1398601398601329
H_2_ (1-0) S(3) line,H_2_ (1-0) S(3) line,0.1398601398601329
N4 (AKARI),N4 (AKARI),0.1398601398601329
1.476 GHz (ATCA),1.476 GHz (ATCA),0.1398601398601329
1.485 GHz (ATCA),1.485 GHz (ATCA),0.1398601398601329
2.2 GHz (VLBA),2.2 GHz (VLBA),0.1398601398601329
22 microns WISE AB,22 microns WISE AB,0.1398601398601329
PAH2 (VLT),PAH2 (VLT),0.1398601398601329
145 microns (ISO),145 microns (ISO),0.1398601398601329
I (CTIO),I (CTIO),0.1398601398601329
FIR (IRAS),FIR (IRAS),0.1398601398601329
0.2-2.0 keV (XMM),0.2-2.0 keV (XMM),0.1398601398601329
PAH 14.2 microns IRS,PAH 14.2 microns IRS,0.1398601398601329
8000 MHz,8000 MHz,0.1398601398601329
z (KPNO),z (KPNO),0.1398601398601329
20.0 GHz (OVRO),20.0 GHz (OVRO),0.1398601398601329
g (SDSS) AB,g (SDSS) AB,0.1398601398601329
1030 A (FUSE),1030 A (FUSE),0.1398601398601329
u (SDSS) AB,u (SDSS) AB,0.1398601398601329
B (MAGNUM),B (MAGNUM),0.1398601398601329
U (CTIO),U (CTIO),0.1398601398601329
log nu(Hz) 14.75,log nu(Hz) 14.75,0.1398601398601329
I Johnson (FLWO),I Johnson (FLWO),0.1398601398601329
24 microns MIPS AB,24 microns MIPS AB,0.1398601398601329
M (KPNO),M (KPNO),0.1398601398601329
e (BATC),e (BATC),0.1398601398601329
10.45 GHz Effelsberg,10.45 GHz Effelsberg,0.1398601398601329
3.7 cm (NRAO),3.7 cm (NRAO),0.1398601398601329
0.3-7 keV (Chandra),0.3-7 keV (Chandra),0.1398601398601329
1450 A,1450 A,0.1398601398601329
S11 (AKARI),S11 (AKARI),0.1398601398601329
a (BATC),a (BATC),0.1398601398601329
Pa{beta} line,Pa{beta} line,0.1398601398601329
8080A,8080A,0.1398601398601329
3 mm (VLBI),3 mm (VLBI),0.1398601398601329
11 microns (AKARI),11 microns (AKARI),0.1398601398601329
B12.4 (VLT),B12.4 (VLT),0.1398601398601329
F625W (HST),F625W (HST),0.1398601398601329
6055A,6055A,0.1398601398601329
5840A,5840A,0.1398601398601329
5556A,5556A,0.1398601398601329
B (Johnson) Burrell,B (Johnson) Burrell,0.1398601398601329
5000A,5000A,0.1398601398601329
4950A,4950A,0.1398601398601329
4900A,4900A,0.1398601398601329
4464A,4464A,0.1398601398601329
4167A,4167A,0.1398601398601329
4032A,4032A,0.1398601398601329
3862A,3862A,0.1398601398601329
3704A,3704A,0.1398601398601329
3636A,3636A,0.1398601398601329
1.25 mm (SEST),1.25 mm (SEST),0.1398601398601329
3509A,3509A,0.1398601398601329
3448A,3448A,0.1398601398601329
3390A,3390A,0.1398601398601329
0.01-1 TeV (Fermi),0.01-1 TeV (Fermi),0.1398601398601329
8400A,8400A,0.1398601398601329
30 GHz (Torun),30 GHz (Torun),0.1398601398601329
7100A,7100A,0.1398601398601329
3-10 keV (XMM),3-10 keV (XMM),0.1398601398601329
86 MHz,86 MHz,0.1398601398601329
2650 MHz,2650 MHz,0.1398601398601329
3.45 microns,3.45 microns,0.1398601398601329
960 MHz,960 MHz,0.1398601398601329
8870 MHz,8870 MHz,0.1398601398601329
8.5 GHz,8.5 GHz,0.1398601398601329
60 MHz,60 MHz,0.1398601398601329
12 microns WISE AB,12 microns WISE AB,0.1398601398601329
L18W (AKARI),L18W (AKARI),0.1398601398601329
88 microns (ISO),88 microns (ISO),0.17482517482517324
[Ar III] 8.9 (IRS),[Ar III] 8.9 (IRS),0.17482517482517324
229 GHz (IRAM),229 GHz (IRAM),0.17482517482517324
R AB,R AB,0.17482517482517324
0.3-6 keV (XMM),0.3-6 keV (XMM),0.17482517482517324
F160W (HST/NIC3) AB,F160W (HST/NIC3) AB,0.17482517482517324
16.7 MHz,16.7 MHz,0.17482517482517324
20.0 MHz,20.0 MHz,0.17482517482517324
J (Johnson),J (Johnson),0.17482517482517324
15-50 keV (Suzaku),15-50 keV (Suzaku),0.17482517482517324
25.0 MHz,25.0 MHz,0.17482517482517324
K (Mt. Lemmon),K (Mt. Lemmon),0.17482517482517324
15.4 GHz (VLBA),15.4 GHz (VLBA),0.17482517482517324
1.465 GHz (VLA),1.465 GHz (VLA),0.17482517482517324
[O III] doublet SDSS,[O III] doublet SDSS,0.17482517482517324
12.0 microns (ISO),12.0 microns (ISO),0.17482517482517324
86 GHz (VLBI),86 GHz (VLBI),0.17482517482517324
0.35-8 keV (Chandra),0.35-8 keV (Chandra),0.17482517482517324
3.6 microns,3.6 microns,0.17482517482517324
2 mm (PdBI),2 mm (PdBI),0.17482517482517324
I (Cousins) (I_23.5),I (Cousins) (I_23.5),0.17482517482517324
37 GHz,37 GHz,0.17482517482517324
86 GHz (IRAM),86 GHz (IRAM),0.17482517482517324
J (IIIa-J + W4),J (IIIa-J + W4),0.17482517482517324
4885 MHz,4885 MHz,0.17482517482517324
0.3-3.5 keV (EO IPC),0.3-3.5 keV (EO IPC),0.17482517482517324
i (Pan-STARRS1),i (Pan-STARRS1),0.17482517482517324
r (Pan-STARRS1),r (Pan-STARRS1),0.17482517482517324
1.46 GHz (VLA),1.46 GHz (VLA),0.17482517482517324
60 microns (ISO),60 microns (ISO),0.17482517482517324
250 GHz (MAMBO),250 GHz (MAMBO),0.17482517482517324
145 MHz (PAPER),145 MHz (PAPER),0.17482517482517324
5 microns,5 microns,0.17482517482517324
5.0 microns,5.0 microns,0.17482517482517324
21 microns,21 microns,0.17482517482517324
i (BATC),i (BATC),0.17482517482517324
5263A,5263A,0.17482517482517324
H_2S(4) (Spitzer),H_2S(4) (Spitzer),0.17482517482517324
4350A,4350A,0.17482517482517324
5.5 GHz (ATCA),5.5 GHz (ATCA),0.17482517482517324
6610A,6610A,0.17482517482517324
9.6 microns (ISOCAM),9.6 microns (ISOCAM),0.17482517482517324
F475W (HST),F475W (HST),0.17482517482517324
63 microns (ISO),63 microns (ISO),0.17482517482517324
6.7 microns (ISO),6.7 microns (ISO),0.17482517482517324
[O I] 6364 Subaru,[O I] 6364 Subaru,0.17482517482517324
8.6 GHz (ATCA),8.6 GHz (ATCA),0.20979020979021357
2373A (IUE),2373A (IUE),0.20979020979021357
2700A (IUE),2700A (IUE),0.20979020979021357
1482A (IUE),1482A (IUE),0.20979020979021357
V (MAGNUM),V (MAGNUM),0.20979020979021357
150 microns (ISO),150 microns (ISO),0.20979020979021357
