,name,csc_index,catalog,class,cat_name,var_flag,streak_src_flag,pileup_flag,ra,dec,gal_b2,gal_l2,hard_hs,hard_hm,hard_ms,var_inter_prob_b,var_inter_sigma_b,var_intra_prob_b,var_inter_index_b,kp_intra_prob_b,var_intra_index_b,var_inter_hard_prob_hs,ks_intra_prob_b,var_inter_hard_sigma_hm,var_inter_hard_prob_ms,var_inter_hard_prob_hm,index,2-7 keV Chandra,0.5-7 keV Chandra,1.2-2 keV Chandra,0.5-1.2 keV Chandra,0.2-0.5 keV Chandra,0.3-8 keV (Chandra),0.5-2 keV (Chandra),FUV (GALEX) AB,NUV (GALEX) AB,u (SDSS PSF) AB,g (SDSS PSF) AB,r (SDSS PSF) AB,i (SDSS PSF) AB,z (SDSS PSF) AB,W1 (WISE),W2 (WISE),W3 (WISE),W4 (WISE),2-10 keV (XMM),4.5 microns (IRAC),8.0 microns (IRAC),24 microns (MIPS),J (2MASS/CTIO),H (2MASS/CTIO),K_s (2MASS/CTIO),0.5-8 keV (Chandra),3.6 microns (IRAC),5.8 microns (IRAC),1-2 keV (Chandra)
2950,2CXO J053854.5+261856,CSC_76764,STAR,STAR,HD 245770                    ,1,1,1,84.72741720967538,26.315724869576226,-2.643545,181.445102,0.77326670830731,0.58338538413492,0.34603372891943,,,0.07773692982656599,,0.955829519024947,0.0,,0.90575372418783,,,,2964,5.1730999999999994e-14,2.478556e-12,5.01884e-14,1.78409e-13,2.3195900000000002e-12,5.62e-12,,,,,,,,,7.597666666666666,7.0310000000000015,6.235666666666668,5.306,,,,,8.368,8.272,8.1765,,,,
2951,2CXO J053854.5+261856,CSC_76764,HMXB,HMXB,1A 0535+262,1,1,1,84.72741720967538,26.315724869576226,-2.643545,181.445102,0.77326670830731,0.58338538413492,0.34603372891943,,,0.07773692982656599,,0.955829519024947,0.0,,0.90575372418783,,,,2964,5.1730999999999994e-14,2.478556e-12,5.01884e-14,1.78409e-13,2.3195900000000002e-12,5.62e-12,,,,,,,,,7.597666666666666,7.0310000000000015,6.235666666666668,5.306,,,,,8.368,8.272,8.1765,,,,
5327,2CXO J102347.6+003840,CSC_98151,ATNF,PULSAR,PSR J1023+0038  ,1,0,0,155.94868204737224,0.6447116358917271,45.782268,243.489498,0.094940662086196,0.29856339787633,-0.20986883198001,,,1.0,,0.9954929652124226,9.0,,0.9992949900020512,,,,5355,1.011275e-13,3.6137e-13,5.2890499999999994e-14,4.75495e-14,2.6918e-13,3.9299999999999994e-13,,,22.38545,19.578,18.014,17.437,17.264,17.212,15.662333333333335,15.907666666666666,12.199000000000002,9.58,,,,,16.2115,15.689,15.862,,,,
5328,2CXO J102347.6+003840,CSC_98151,HEA,LMXB,AY SEX                  ,1,0,0,155.94868204737224,0.6447116358917271,45.782268,243.489498,0.094940662086196,0.29856339787633,-0.20986883198001002,,,1.0,,0.9954929652124226,9.0,,0.9992949900020512,,,,5355,1.011275e-13,3.6137e-13,5.2890499999999994e-14,4.75495e-14,2.6918e-13,3.9299999999999994e-13,,,22.38545,19.578,18.014,17.437,17.264,17.212,15.662333333333335,15.907666666666666,12.199000000000002,9.58,,,,,16.2115,15.689,15.862,,,,
5329,2CXO J102347.6+003840,CSC_98151,OPENCV,CV,AY Sex,1,0,0,155.94868204737224,0.6447116358917271,45.782268,243.489498,0.094940662086196,0.29856339787633,-0.20986883198001002,,,1.0,,0.9954929652124226,9.0,,0.9992949900020512,,,,5355,1.011275e-13,3.6137e-13,5.2890499999999994e-14,4.75495e-14,2.6918e-13,3.9299999999999994e-13,,,22.38545,19.578,18.014,17.437,17.264,17.212,15.662333333333335,15.907666666666666,12.199000000000002,9.58,,,,,16.2115,15.689,15.862,,,,
5560,2CXO J103845.8+533012,CSC_99359,ULX,ULX,NGC 3310 ULX1        ,1,0,0,159.69109402153254,53.50335603824088,54.062434,156.604066,0.56589631480325,0.30730793254216,0.31230480949407,,,0.9999999999818,,0.9999999999925824,9.0,,0.9999999999997446,,,,5586,1.51005e-15,3.273050000000001e-13,1.5539e-14,4.9842000000000005e-14,2.7191e-13,3.065e-13,,,,13.889666666666665,5.532857142858591,12.541333333333334,12.384333333333334,12.147,,11.31,,,1.305e-12,7052.745333333332,53843.74333333333,4.99,10.897333333333336,11.053,10.6905,,7582.225,20075.15233333333,
5561,2CXO J103845.8+533012,CSC_99359,VERONCAT,AGN,NGC 3310         ,1,0,0,159.69109402153254,53.50335603824088,54.062434,156.604066,0.56589631480325,0.30730793254216,0.31230480949407,,,0.9999999999818,,0.9999999999925824,9.0,,0.9999999999997446,,,,5586,1.51005e-15,3.273050000000001e-13,1.5539e-14,4.9842000000000005e-14,2.7191e-13,3.065e-13,,,,13.889666666666665,5.532857142858591,12.541333333333334,12.384333333333334,12.147,,11.31,,,1.305e-12,7052.745333333332,53843.74333333333,4.99,10.897333333333336,11.053,10.6905,,7582.225,20075.15233333333,
6441,2CXO J120154.9-185314,CSC_288939,ULX,ULX,NGC 4038/9 ULX12     ,1,0,0,180.47907004127967,-18.887342640280266,42.444895,286.975759,0.26108682073704,0.19612742036227,0.068707058088695,1.0,1.9849572222498002e-05,0.32157969398793,8.0,0.977124087716755,0.0,0.9997405134860264,0.9909028964136296,0.15863054699296,0.39391485094076,0.986530346387645,6465,4.874024999999997e-16,9.0265e-14,9.02285e-15,1.6499000000000002e-14,6.573025000000001e-14,9.75e-14,,,,,,,,,,,,,,,,,,,16.16,,,,
6442,2CXO J120154.9-185314,CSC_288939,VERONCAT,AGN,CXO 37           ,1,0,0,180.47907004127967,-18.887342640280266,42.444895,286.975759,0.26108682073704,0.19612742036227,0.068707058088695,1.0,1.9849572222498002e-05,0.32157969398793,8.0,0.977124087716755,0.0,0.9997405134860264,0.9909028964136296,0.15863054699296,0.39391485094076,0.986530346387645,6465,4.874024999999997e-16,9.0265e-14,9.02285e-15,1.6499000000000002e-14,6.573025000000001e-14,9.75e-14,,,,,,,,,,,,,,,,,,,16.16,,,,
6454,2CXO J120309.6+443152,CSC_26888,VERONCAT,AGN,NGC 4051         ,1,1,1,180.790086550644,44.53126949438068,70.085211,148.883084,,,,,,1.0,,1.0,10.0,,1.0,,,,6477,1.2562680000000001e-12,5.394684000000001e-12,1.123474e-12,5.93587e-13,2.4864e-13,9.220000000000002e-12,1.4009999999999999e-11,,,,-2.50399999999947,,,,8.795333333333334,7.946333333333333,4.622,2.236333333333333,-0.8521739130314423,7.94,5.56,,11.4845,10.638,9.9235,,9.5635,114549.03333333333,
6455,2CXO J120309.6+443152,CSC_26888,STAR,STAR,EM* STHA 85                  ,1,1,1,180.790086550644,44.53126949438068,70.085211,148.883084,,,,,,1.0,,1.0,10.0,,1.0,,,,6477,1.2562680000000001e-12,5.394684000000001e-12,1.123474e-12,5.93587e-13,2.4864e-13,9.220000000000002e-12,1.4009999999999999e-11,,,,-2.50399999999947,,,,8.795333333333334,7.946333333333333,4.622,2.236333333333333,-0.8521739130314423,7.94,5.56,,11.4845,10.638,9.9235,,9.5635,114549.03333333333,
6520,2CXO J121007.7+392312,CSC_270579,ULX,ULX,NGC 4151 ULX1        ,1,0,0,182.53248076417003,39.38668822260025,75.02908000000002,155.36651899999995,,,,,,0.082182706010682,,0.36721150772949,0.0,,0.47408093535920004,,,,6542,4.7141000000000014e-15,3.175249999999999e-14,8.165499999999999e-15,7.81625e-15,1.6287e-14,2.935e-14,2.2e-14,,,20.376666666666665,19.560666666666666,18.736,18.425333333333327,18.191333333333333,15.237333333333336,14.447666666666665,11.429,8.198333333333332,,,,,,,,,,,4.5744e-15
6521,2CXO J121007.7+392312,CSC_270579,VERONCAT,AGN,IXO 43           ,1,0,0,182.53248076417003,39.38668822260025,75.02908000000002,155.36651899999995,,,,,,0.082182706010682,,0.36721150772949,0.0,,0.47408093535920004,,,,6542,4.7141000000000014e-15,3.175249999999999e-14,8.165499999999999e-15,7.81625e-15,1.6287e-14,2.935e-14,2.2e-14,,,20.376666666666665,19.560666666666666,18.736,18.425333333333327,18.191333333333333,15.237333333333336,14.447666666666665,11.429,8.198333333333332,,,,,,,,,,,4.5744e-15
6734,2CXO J122758.7-485343,CSC_111653,ATNF,PULSAR,PSR J1227-4853  ,1,0,0,186.9948164445437,-48.89537034297965,13.79563,298.965508,0.23860087445347,0.28107432854466,-0.046221111805122,,,0.99999999916094,,0.9999999999999358,8.0,,0.9999878395031828,,,,6755,2.607e-15,3.5314e-13,3.7723000000000005e-14,5.0006500000000005e-14,2.6976e-13,3.9799999999999997e-13,,,,,7.5e-15,,,,,,,,,,,,15.717,15.3575,15.4235,,,,
6735,2CXO J122758.7-485343,CSC_111653,HEA,LMXB,J1227-4853              ,1,0,0,186.9948164445437,-48.89537034297965,13.79563,298.965508,0.23860087445347,0.28107432854465997,-0.046221111805122,,,0.99999999916094,,0.9999999999999358,8.0,,0.9999878395031828,,,,6755,2.607e-15,3.5314e-13,3.7723000000000005e-14,5.0006500000000005e-14,2.6976e-13,3.9799999999999997e-13,,,,,7.5e-15,,,,,,,,,,,,15.717,15.3575,15.4235,,,,
6760,2CXO J122922.1+075332,CSC_193819,ULX,ULX,NGC 4472 ULX2        ,1,0,0,187.34221707618144,7.8923505361650275,70.066022,286.711522,-0.27482823235478,0.064959400374766,-0.33229231730169,1.0,1.4633947109401001e-05,0.49507530857305,8.0,0.923347280980825,0.0,0.12339744620232995,0.9557516904454642,0.15674308827373,0.11907786191466994,0.48676298343814,6780,3.312440000000001e-14,4.8764749999999995e-14,1.30148e-14,9.18815e-15,2.757325e-14,8.82e-14,4.0999999999999996e-14,,,21.544,20.753,20.659000000000002,20.936999999999998,20.085,15.15,14.498666666666667,11.789333333333332,8.477333333333334,,,,,,,,,,,
6761,2CXO J122922.1+075332,CSC_193819,VERONCAT,AGN,IXO 56           ,1,0,0,187.34221707618144,7.8923505361650275,70.066022,286.711522,-0.27482823235478,0.064959400374766,-0.33229231730169,1.0,1.4633947109401001e-05,0.49507530857305,8.0,0.923347280980825,0.0,0.12339744620232995,0.9557516904454642,0.15674308827373,0.11907786191466994,0.48676298343814,6780,3.312440000000001e-14,4.8764749999999995e-14,1.30148e-14,9.18815e-15,2.757325e-14,8.82e-14,4.0999999999999996e-14,,,21.544,20.753,20.659000000000002,20.936999999999998,20.085,15.15,14.498666666666667,11.789333333333332,8.477333333333334,,,,,,,,,,,
7426,2CXO J133001.0+471343,CSC_248544,ULX,ULX,NGC 5194/5 ULX7      ,1,0,0,202.50421685888927,47.22888593554328,68.520409,104.830222,0.047470331043098,0.18613366645846,-0.13991255465334,1.0,7.9357330090138e-05,1.0,8.0,1.0,10.0,0.967803678897102,1.0,0.087086927192156,0.8950737548177901,0.20434143671534,7467,2.9913499999999997e-13,3.7694e-13,5.7883e-14,6.236050000000001e-14,2.554450000000001e-13,,,,,,,,,,,,,,,,,,,,,,,,
7427,2CXO J133001.0+471343,CSC_248544,HEA,LMXB,M 51 X-7                ,1,0,0,202.50421685888927,47.22888593554328,68.520409,104.83022199999999,0.047470331043098,0.18613366645845997,-0.13991255465334,1.0,7.9357330090138e-05,1.0,8.0,1.0,10.0,0.9678036788971021,1.0,0.087086927192156,0.8950737548177901,0.20434143671533997,7467,2.9913499999999997e-13,3.7694e-13,5.7883e-14,6.236050000000001e-14,2.554450000000001e-13,,,,,,,,,,,,,,,,,,,,,,,,
7781,2CXO J141312.1-652013,CSC_273267,ULX,ULX,CIRCINUS ULX1        ,1,0,0,213.3005789909738,-65.33720695922071,-3.807339,311.330234,0.77951280449719,0.41224234853217,0.5421611492817,1.0,0.00088924262576044,1.0,8.0,1.0,10.0,1.0,1.0,0.17827881768657,0.9999893370489836,1.0,7823,3.07091e-14,8.399575000000001e-13,1.857375e-14,1.057625e-13,7.479475e-13,2.255e-12,,,,,,,,,,,,,9.000000000000002e-13,,,,,,,4.08e-12,,,
7782,2CXO J141312.1-652013,CSC_273267,OPENCV,CV,J141312.24-652014.0,1,0,0,213.3005789909738,-65.33720695922071,-3.807339,311.33023399999996,0.77951280449719,0.41224234853216996,0.5421611492817,1.0,0.00088924262576044,1.0,8.0,1.0,10.0,1.0,1.0,0.17827881768657,0.9999893370489836,1.0,7823,3.07091e-14,8.399575000000001e-13,1.857375e-14,1.057625e-13,7.479475e-13,2.255e-12,,,,,,,,,,,,,9.000000000000002e-13,,,,,,,4.08e-12,,,
8381,2CXO J152040.8-571000,CSC_226197,HMXB,HMXB,XMMSL2 J152040.2-570955,1,0,0,230.17019994130055,-57.16667524089613,0.037764,322.118523,0.9893816364772,0.85696439725172,0.86445971267958,,,1.0,,1.0,9.0,,0.9999999999999972,,,,8422,1.2929499999999998e-14,3.3655499999999987e-12,2.57345e-15,6.420399999999998e-14,3.45705e-12,6.7599999999999995e-12,,,,,,,,,9.860333333333333,9.917333333333334,8.534666666666666,6.41,2.0202e-08,13447.0,8999.3,348.91,12.7265,11.5275,10.683,,16624.5,11928.5,4.33665e-12
8382,2CXO J152040.8-571000,CSC_226197,HEA,LMXB,CIR X-1                 ,1,0,0,230.17019994130055,-57.16667524089613,0.037764,322.118523,0.9893816364771999,0.85696439725172,0.86445971267958,,,1.0,,1.0,9.0,,0.9999999999999972,,,,8422,1.2929499999999998e-14,3.3655499999999987e-12,2.57345e-15,6.420399999999998e-14,3.45705e-12,6.7599999999999995e-12,,,,,,,,,9.860333333333333,9.917333333333334,8.534666666666666,6.41,2.0202e-08,13447.0,8999.3,348.91,12.7265,11.5275,10.683,,16624.5,11928.5,4.33665e-12
8716,2CXO J162826.8-502239,CSC_133175,HMXB,HMXB,IGR J16287-5021,1,0,0,247.11185899430473,-50.377697928855255,-1.125757,334.108374,0.9369144284822,0.8894440974391,0.27732667083073,,,0.9158932368223,,0.9998555924314798,6.0,,0.9991037783707596,,,,8754,4.02505e-14,2.52145e-12,1.79955e-14,3.66175e-14,2.55225e-12,4.059999999999999e-12,,,,,,,,,,,,,6.499999999999999e-12,,,,,,,,,,
8717,2CXO J162826.8-502239,CSC_133175,HEA,LMXB,IGR J16287-5021         ,1,0,0,247.11185899430473,-50.377697928855255,-1.125757,334.108374,0.9369144284821999,0.8894440974391,0.27732667083073,,,0.9158932368223001,,0.9998555924314798,6.0,,0.9991037783707596,,,,8754,4.02505e-14,2.52145e-12,1.79955e-14,3.66175e-14,2.55225e-12,4.059999999999999e-12,,,,,,,,,,,,,6.499999999999999e-12,,,,,,,,,,
9206,2CXO J174042.0-280724,CSC_162426,HMXB,HMXB,IGR J17407-2808,1,0,0,265.1750419804374,-28.123557597902884,1.346365,0.123664,0.99937539038101,0.99937539038101,-0.99937539038101,1.0,0.00013766586825791002,1.0,8.0,1.0,10.0,0.7135501813488501,1.0,0.23993853258877,0.7638989965905,0.9996419574818842,9242,6.989717499999999e-15,2.50425e-13,6.4503000000000005e-16,5.5966200000000006e-15,2.448575e-13,4.71e-13,,,,,,,,,,,,,,,,,,,,,,,
9207,2CXO J174042.0-280724,CSC_162426,HEA,LMXB,IGR J17407-2808         ,1,0,0,265.1750419804374,-28.123557597902884,1.346365,0.12366400000000001,0.99937539038101,0.99937539038101,-0.99937539038101,1.0,0.00013766586825791002,1.0,8.0,1.0,10.0,0.7135501813488501,1.0,0.23993853258877,0.7638989965905,0.9996419574818842,9242,6.989717499999999e-15,2.50425e-13,6.4503000000000005e-16,5.5966200000000006e-15,2.448575e-13,4.71e-13,,,,,,,,,,,,,,,,,,,,,,,
9229,2CXO J174433.0-284426,CSC_164440,STAR,STAR,XMMSL2 J174433.3-284424      ,1,0,0,266.13775795247045,-28.74079724995894,0.301656,0.04445,0.98063710181137,0.92567145534041,0.56964397251718,1.0,5.0524720612134e-05,1.0,8.0,1.0,9.0,0.65913487233816,1.0,0.020621737044148,0.7865698799006899,0.19910849305664002,9264,3.3905e-15,3.4070250000000003e-13,2.224175e-15,4.55505e-15,3.4836000000000014e-13,6.069999999999999e-13,,,,,,,,,,,,,,,,,,,,,,,1.8721e-14
9230,2CXO J174433.0-284426,CSC_164440,HEA,LMXB,GRO J1744-28            ,1,0,0,266.13775795247045,-28.74079724995894,0.301656,0.04445,0.98063710181137,0.9256714553404101,0.56964397251718,1.0,5.0524720612134e-05,1.0,8.0,1.0,9.0,0.65913487233816,1.0,0.020621737044148,0.7865698799006899,0.19910849305664,9264,3.3905e-15,3.4070250000000003e-13,2.224175e-15,4.55505e-15,3.4836000000000014e-13,6.069999999999999e-13,,,,,,,,,,,,,,,,,,,,,,,1.8721e-14
9249,2CXO J174539.7-290029,CSC_168170,STAR,STAR,XMMSL2 J174539.6-290028      ,1,0,0,266.41576125921824,-29.00824744683389,-0.045589,359.943386,0.98813241723923,0.96064959400375,0.5421611492817,0.93086187270841,1.831539083047e-05,1.0,5.0,1.0,9.0,0.0,1.0,0.030987234629751,0.980895481282298,0.08770426067477001,9283,1.701925e-17,3.3450749999999996e-14,3.5165e-17,2.9863499999999997e-16,3.48495e-14,,,,,,,,,,,,,,,,,,14.0075,10.2195,7.739000000000001,,,,1.04105e-15
9250,2CXO J174539.7-290029,CSC_168170,HEA,LMXB,J1745-2900              ,1,0,0,266.41576125921824,-29.00824744683389,-0.045589,359.943386,0.98813241723923,0.9606495940037499,0.5421611492817,0.93086187270841,1.831539083047e-05,1.0,5.0,1.0,9.0,0.0,1.0,0.030987234629751,0.980895481282298,0.08770426067477001,9283,1.701925e-17,3.3450749999999996e-14,3.5165e-17,2.9863499999999997e-16,3.48495e-14,,,,,,,,,,,,,,,,,,14.0075,10.2195,7.739000000000001,,,,1.04105e-15
9251,2CXO J174540.1-290029,CSC_168230,ATNF,PULSAR,PSR J1745-2900  ,1,0,0,266.41736387329445,-29.008273148549108,-0.046799,359.944094,0.97938788257339,0.93941286695815,0.4759525296689601,1.0,0.0009722008821132301,0.7800067397345601,8.0,0.9999888467312444,5.0,,0.9996429989740386,0.21764342386402,0.45718524254574,0.42290122936662,9284,1.1391775e-16,7.156245e-13,4.773382499999998e-16,1.6477899999999995e-15,7.488229999999998e-13,,,,,,,,,,,,,,,,,,,,,,,,2.0974e-15
9252,2CXO J174540.1-290029,CSC_168230,HEA,LMXB,CXOGC J174540.0-290031  ,1,0,0,266.41736387329445,-29.008273148549108,-0.046799,359.944094,0.97938788257339,0.93941286695815,0.4759525296689601,1.0,0.0009722008821132301,0.7800067397345601,8.0,0.9999888467312444,5.0,,0.9996429989740386,0.21764342386402,0.45718524254574,0.42290122936661995,9284,1.1391775e-16,7.156245e-13,4.773382499999998e-16,1.6477899999999995e-15,7.488229999999998e-13,,,,,,,,,,,,,,,,,,,,,,,,2.0974e-15
9379,2CXO J175425.2-261952,CSC_2506,STAR,STAR,XMMSL2 J175425.2-261957      ,1,1,1,268.60506792338583,-26.33138371772481,-0.335434,3.235779,0.95690193628982,0.73953778888195,0.7445346658338499,,,1.0,,1.0,10.0,,1.0,,,,9411,1.5002000000000005e-14,4.272736e-12,1.489136e-14,1.6782639999999994e-13,4.1966199999999995e-12,2.13e-12,,,,,,,,,7.660333333333334,7.545333333333333,7.309,5.4239999999999995,,,,,8.8095,8.328500000000002,8.027000000000001,,,,
9380,2CXO J175425.2-261952,CSC_2506,HMXB,HMXB,IGR J17544-2619,1,1,1,268.60506792338583,-26.33138371772481,-0.335434,3.235779,0.95690193628982,0.73953778888195,0.7445346658338499,,,1.0,,1.0,10.0,,1.0,,,,9411,1.5002000000000005e-14,4.272736e-12,1.489136e-14,1.6782639999999994e-13,4.1966199999999995e-12,2.13e-12,,,,,,,,,7.660333333333334,7.545333333333333,7.309,5.4239999999999995,,,,,8.8095,8.328500000000002,8.027000000000001,,,,
9461,2CXO J181020.8-190410,CSC_199105,HMXB,HMXB,XTE J1810-189,1,0,0,272.58705318651533,-19.069496943562285,0.058684,11.36269,0.99937539038101,0.58713304184884,0.27982510930668,1.0,0.018475920351419,1.0,8.0,1.0,9.0,0.09977706291014,1.0,0.22392240534963,0.31291558475498005,0.5974896617760199,9494,8.118300000000004e-15,5.141971075e-11,1.4293366666666665e-15,5.666400000000001e-16,5.0860318e-11,,,,,,,,,,,,,,,,,,14.5045,12.826,12.1815,,,,
9462,2CXO J181020.8-190410,CSC_199105,HEA,LMXB,XTE J1810-189           ,1,0,0,272.58705318651533,-19.069496943562285,0.058684,11.362689999999999,0.99937539038101,0.58713304184884,0.27982510930668,1.0,0.018475920351418998,1.0,8.0,1.0,9.0,0.09977706291014,1.0,0.22392240534963,0.31291558475498005,0.5974896617760199,9494,8.118300000000004e-15,5.141971075e-11,1.4293366666666665e-15,5.666400000000001e-16,5.0860318e-11,,,,,,,,,,,,,,,,,,14.5045,12.826,12.1815,,,,
9497,2CXO J182432.4-245208,CSC_311492,ATNF,PULSAR,PSR J1824-2452I ,1,0,0,276.1353980290829,-24.868928074227306,-5.578935,7.798317,0.33603997501562,0.2473454091193,0.096189881324172,1.0,0.00011583359418013001,1.0,8.0,1.0,10.0,0.81906908482319,1.0,0.46852820348654,0.69571060386343,0.953356088400278,9529,7.530475e-15,4.717425e-13,3.995850000000001e-14,7.59745e-14,3.645575e-13,2.68e-13,,,,,,,,,,,,,,,,,,,,,,,
9498,2CXO J182432.4-245208,CSC_311492,HEA,LMXB,J1824-2452              ,1,0,0,276.1353980290829,-24.868928074227306,-5.5789349999999995,7.798317,0.33603997501562,0.24734540911929997,0.096189881324172,1.0,0.00011583359418013001,1.0,8.0,1.0,10.0,0.81906908482319,1.0,0.46852820348653995,0.69571060386343,0.953356088400278,9529,7.530475e-15,4.717425e-13,3.995850000000001e-14,7.59745e-14,3.645575e-13,2.68e-13,,,,,,,,,,,,,,,,,,,,,,,
9534,2CXO J183327.7-103524,CSC_209397,STAR,STAR,2XMM J183327.7-103523        ,1,0,0,278.36570918096845,-10.590096525281348,-0.874246,21.470702,,,,1.0,5.9618648239319994e-05,0.99901242536425,8.0,0.9995786371442984,7.0,0.30584207607005,0.9998124746038979,0.21152797593445,0.37075823371845,0.3230012959483201,9565,,,,,,5.379999999999999e-13,,,,,,,,,,,,,,141020.0,,31797.5,9.1285,8.629000000000001,8.275,,172270.0,128405.0,3.1277499999999996e-14
9535,2CXO J183327.7-103524,CSC_209397,HMXB,HMXB,2XMM J183327.7-103523,1,0,0,278.36570918096845,-10.590096525281348,-0.874246,21.470702,,,,1.0,5.9618648239319994e-05,0.99901242536425,8.0,0.9995786371442984,7.0,0.30584207607005,0.9998124746038979,0.21152797593445,0.37075823371845,0.3230012959483201,9565,,,,,,5.379999999999999e-13,,,,,,,,,,,,,,141020.0,,31797.5,9.1285,8.629000000000001,8.275,,172270.0,128405.0,3.1277499999999996e-14
9557,2CXO J184100.4-053547,CSC_207991,STAR,STAR,XMMSL2 J184100.6-053544      ,1,0,0,280.2517490439792,-5.596615349814301,-0.238921,26.763947,0.99437851342911,0.93566520924422,0.82823235477826,,,1.0,,1.0,10.0,,1.0,,,,9585,3.98885e-15,2.4438e-12,1.599e-15,2.4823500000000003e-14,2.4813e-12,,,,,,,,,,7.624666666666667,7.310333333333332,7.171666666666668,5.27,,,,,9.7575,9.231000000000002,8.940999999999997,,,,6.2886e-13
9558,2CXO J184100.4-053547,CSC_207991,HMXB,HMXB,AX J1841.0-0536,1,0,0,280.2517490439792,-5.596615349814301,-0.238921,26.763947,0.99437851342911,0.93566520924422,0.82823235477826,,,1.0,,1.0,10.0,,1.0,,,,9585,3.98885e-15,2.4438e-12,1.599e-15,2.4823500000000003e-14,2.4813e-12,,,,,,,,,,7.624666666666667,7.310333333333332,7.171666666666668,5.27,,,,,9.7575,9.231000000000002,8.940999999999997,,,,6.2886e-13
9872,2CXO J212958.3+121002,CSC_297042,ATNF,PULSAR,PSR J2129+1210I ,1,0,0,322.49297281455034,12.167409533771375,-27.312312,65.012935,,,,,,0.99999999999999,,0.9999999993437304,9.0,,0.9999999999808774,,,,9895,2.208935e-15,3.2953224e-13,6.159945e-14,7.1376335e-15,3.671646e-13,,,,,,,,,,,,,,,,,,,,,,,,3.63205e-11
9873,2CXO J212958.3+121002,CSC_297042,HEA,LMXB,4U 2129+12              ,1,0,0,322.49297281455034,12.167409533771375,-27.312312,65.012935,,,,,,0.99999999999999,,0.9999999993437304,9.0,,0.9999999999808774,,,,9895,2.208935e-15,3.2953224e-13,6.159945e-14,7.1376335e-15,3.671646e-13,,,,,,,,,,,,,,,,,,,,,,,,3.63205e-11
10275,2CXO J233938.7-053305,CSC_160148,ATNF,PULSAR,PSR J2339-0533  ,1,0,0,354.91140146183443,-5.551438442058655,-62.476117,81.34895300000002,0.15865084322299,0.29356652092442,-0.14241099312929,,,0.99959928125841,,0.9999964075419168,7.0,,0.9998503730437278,,,,10296,4.22785e-15,2.0714499999999997e-13,3.64115e-14,3.0137e-14,1.4810000000000002e-13,2.4299999999999997e-13,,22.8277,22.881575,,,,,,16.285999999999998,16.003,11.782333333333336,8.147333333333334,,,,,,,,,,,
10276,2CXO J233938.7-053305,CSC_160148,OPENCV,CV,MLS100902_233939-053305,1,0,0,354.91140146183443,-5.551438442058655,-62.476117,81.34895300000002,0.15865084322299,0.29356652092442,-0.14241099312929,,,0.99959928125841,,0.9999964075419168,7.0,,0.9998503730437278,,,,10296,4.22785e-15,2.0714499999999997e-13,3.64115e-14,3.0137e-14,1.4810000000000002e-13,2.4299999999999997e-13,,22.8277,22.881575,,,,,,16.285999999999998,16.003,11.782333333333336,8.147333333333334,,,,,,,,,,,
