,true class,pred_class,AGN,STAR,ULX,YSO
277,AGN,AGN,0.9763333333333334,0.006,0.017666666666666667,0.0
278,STAR,STAR,0.114,0.776,0.1,0.01
279,STAR,STAR,0.012,0.936,0.052,0.0
280,AGN,AGN,0.527,0.146,0.327,0.0
281,AGN,AGN,0.988,0.006,0.006,0.0
282,STAR,STAR,0.012,0.868,0.104,0.016
283,AGN,AGN,0.5926666666666668,0.244,0.15333333333333332,0.01
284,ULX,AGN,0.68,0.304,0.012,0.004
285,STAR,STAR,0.17,0.598,0.08,0.152
286,AGN,AGN,0.702,0.182,0.096,0.02
287,STAR,STAR,0.014,0.932,0.028,0.026
288,AGN,AGN,0.97,0.008,0.022,0.0
289,STAR,STAR,0.048,0.918,0.016,0.018
290,STAR,STAR,0.196,0.726,0.078,0.0
291,STAR,STAR,0.02,0.954,0.014,0.012
292,AGN,AGN,0.414,0.36,0.182,0.044
293,STAR,STAR,0.446,0.468,0.018,0.068
294,STAR,STAR,0.076,0.782,0.13,0.012
295,AGN,AGN,0.9363333333333334,0.02,0.043666666666666666,0.0
296,AGN,AGN,0.996,0.002,0.002,0.0
297,STAR,STAR,0.002,0.974,0.024,0.0
298,AGN,AGN,0.582,0.108,0.296,0.014
299,AGN,AGN,0.951,0.002,0.047,0.0
300,AGN,AGN,0.97,0.03,0.0,0.0
301,STAR,STAR,0.114,0.696,0.176,0.014
302,STAR,STAR,0.002,0.992,0.006,0.0
303,AGN,AGN,0.828,0.088,0.076,0.008
304,STAR,STAR,0.172,0.672,0.1,0.056
305,STAR,STAR,0.004,0.99,0.004,0.002
306,STAR,STAR,0.276,0.682,0.038,0.004
307,STAR,STAR,0.063,0.794,0.131,0.012
308,AGN,AGN,0.996,0.002,0.002,0.0
309,STAR,STAR,0.004,0.936,0.052,0.008
310,STAR,STAR,0.014,0.888,0.044,0.054
311,AGN,AGN,0.946,0.032,0.012,0.01
312,STAR,STAR,0.23,0.75,0.014,0.006
313,STAR,STAR,0.044,0.934,0.006,0.016
314,YSO,STAR,0.2635,0.4205,0.108,0.208
315,AGN,AGN,0.5406,0.2,0.2554,0.004
316,AGN,AGN,0.976,0.024,0.0,0.0
317,STAR,STAR,0.054,0.716,0.218,0.012
318,STAR,AGN,0.596,0.204,0.196,0.004
319,YSO,YSO,0.0,0.014,0.0,0.986
320,STAR,STAR,0.006,0.98,0.002,0.012
321,ULX,ULX,0.2778333333333334,0.228,0.4921666666666667,0.002
322,AGN,AGN,0.97,0.006,0.024,0.0
323,STAR,STAR,0.16,0.83,0.006,0.004
324,AGN,AGN,0.986,0.004,0.002,0.008
325,STAR,STAR,0.002,0.966,0.03,0.002
326,AGN,AGN,0.97,0.026,0.002,0.002
327,AGN,AGN,0.9,0.032,0.008,0.06
328,STAR,STAR,0.004,0.986,0.01,0.0
329,STAR,YSO,0.084,0.392,0.106,0.418
330,STAR,STAR,0.182,0.762,0.032,0.024
331,STAR,STAR,0.026,0.808,0.166,0.0
332,STAR,STAR,0.0,1.0,0.0,0.0
333,STAR,STAR,0.188,0.754,0.058,0.0
334,STAR,STAR,0.128,0.584,0.2,0.088
335,STAR,STAR,0.0,0.976,0.024,0.0
336,STAR,STAR,0.19519999999999998,0.582,0.21480000000000002,0.008
337,STAR,STAR,0.012,0.926,0.054,0.008
338,AGN,AGN,0.8563333333333333,0.11766666666666666,0.01,0.016
339,AGN,AGN,0.55,0.272,0.042,0.136
340,AGN,AGN,0.946,0.036,0.014,0.004
341,ULX,STAR,0.074,0.7,0.22,0.006
342,STAR,STAR,0.004,0.96,0.032,0.004
343,AGN,AGN,0.966,0.016,0.002,0.016
344,AGN,AGN,0.978,0.02,0.002,0.0
345,STAR,STAR,0.107,0.805,0.038,0.05
346,AGN,AGN,0.7316666666666666,0.208,0.042333333333333334,0.018
347,AGN,AGN,0.9793333333333334,0.018,0.0006666666666666666,0.002
348,AGN,AGN,0.472,0.43,0.04,0.058
349,AGN,AGN,0.668,0.254,0.024,0.054
350,AGN,AGN,1.0,0.0,0.0,0.0
351,STAR,STAR,0.036,0.604,0.354,0.006
352,STAR,STAR,0.002,0.952,0.046,0.0
353,AGN,AGN,0.984,0.016,0.0,0.0
354,AGN,YSO,0.044,0.078,0.0,0.878
355,STAR,YSO,0.116,0.11,0.01,0.764
356,STAR,STAR,0.026,0.684,0.29,0.0
357,AGN,AGN,0.62,0.34,0.03,0.01
358,AGN,AGN,0.714,0.214,0.03,0.042
359,AGN,AGN,0.9109666666666668,0.01,0.07903333333333333,0.0
360,AGN,AGN,0.982,0.018,0.0,0.0
361,STAR,STAR,0.008,0.904,0.076,0.012
362,AGN,AGN,0.6696666666666667,0.24033333333333332,0.064,0.026
363,STAR,STAR,0.028,0.878,0.018,0.076
364,STAR,STAR,0.002,0.994,0.004,0.0
365,YSO,YSO,0.0,0.01,0.004,0.986
366,AGN,AGN,0.488,0.354,0.14,0.018
367,STAR,STAR,0.17,0.502,0.322,0.006
368,STAR,STAR,0.068,0.858,0.03,0.044
369,STAR,STAR,0.002,0.94,0.058,0.0
370,AGN,AGN,0.794,0.178,0.028,0.0
371,STAR,AGN,0.512,0.314,0.056,0.118
372,STAR,STAR,0.08,0.88,0.014,0.026
373,STAR,STAR,0.152,0.748,0.088,0.012
374,STAR,ULX,0.3339666666666667,0.294,0.3660333333333333,0.006
375,STAR,YSO,0.178,0.272,0.102,0.448
376,STAR,STAR,0.068,0.82,0.072,0.04
377,AGN,AGN,0.956,0.012,0.026,0.006
378,STAR,STAR,0.4036666666666667,0.452,0.13433333333333333,0.01
379,STAR,STAR,0.0,0.984,0.016,0.0
380,AGN,AGN,0.9436666666666667,0.01,0.04633333333333333,0.0
381,STAR,STAR,0.264,0.568,0.162,0.006
382,YSO,STAR,0.122,0.644,0.128,0.106
383,AGN,AGN,0.3845,0.278,0.3235,0.014
384,STAR,STAR,0.002,0.996,0.002,0.0
385,STAR,STAR,0.0,0.964,0.036,0.0
386,STAR,STAR,0.016,0.874,0.106,0.004
387,STAR,STAR,0.0,0.996,0.004,0.0
388,STAR,AGN,0.7646000000000001,0.174,0.061399999999999996,0.0
389,STAR,STAR,0.002,0.844,0.154,0.0
390,STAR,STAR,0.16633333333333333,0.7316666666666666,0.03,0.072
391,STAR,YSO,0.034,0.426,0.02,0.52
392,AGN,AGN,0.992,0.004,0.004,0.0
393,STAR,STAR,0.148,0.552,0.296,0.004
394,STAR,STAR,0.004,0.996,0.0,0.0
395,STAR,STAR,0.0,0.998,0.002,0.0
396,AGN,STAR,0.422,0.432,0.14,0.006
397,STAR,STAR,0.004,0.986,0.01,0.0
398,AGN,AGN,0.998,0.0,0.0,0.002
399,AGN,AGN,0.976,0.022,0.002,0.0
400,STAR,STAR,0.174,0.608,0.206,0.012
401,AGN,AGN,0.992,0.006,0.002,0.0
402,STAR,STAR,0.024,0.776,0.168,0.032
403,AGN,AGN,0.996,0.004,0.0,0.0
404,STAR,STAR,0.022,0.868,0.096,0.014
405,STAR,STAR,0.096,0.872,0.02,0.012
406,STAR,STAR,0.014,0.958,0.014,0.014
407,STAR,STAR,0.0,0.992,0.008,0.0
408,STAR,STAR,0.05,0.832,0.1,0.018
409,STAR,STAR,0.056,0.91,0.03,0.004
410,AGN,AGN,0.972,0.022,0.006,0.0
411,STAR,STAR,0.3432,0.52,0.0868,0.05
412,STAR,STAR,0.266,0.444,0.26,0.03
413,AGN,AGN,0.996,0.004,0.0,0.0
414,STAR,STAR,0.048,0.648,0.062,0.242
415,STAR,STAR,0.006,0.928,0.066,0.0
416,STAR,STAR,0.16466666666666668,0.6813333333333333,0.126,0.028
417,STAR,STAR,0.0125,0.672,0.3095,0.006
418,STAR,STAR,0.022,0.89,0.058,0.03
419,STAR,STAR,0.002,0.972,0.024,0.002
420,STAR,STAR,0.1,0.87,0.022,0.008
421,STAR,STAR,0.082,0.87,0.048,0.0
422,STAR,STAR,0.236,0.562,0.072,0.13
423,STAR,STAR,0.01,0.974,0.012,0.004
424,AGN,STAR,0.322,0.412,0.252,0.014
425,STAR,STAR,0.002,0.978,0.018,0.002
426,STAR,STAR,0.253,0.483,0.084,0.18
427,AGN,ULX,0.005666666666666666,0.034,0.9583333333333334,0.002
428,AGN,AGN,0.7756666666666666,0.126,0.08233333333333334,0.016
429,STAR,STAR,0.15,0.702,0.1,0.048
430,STAR,STAR,0.114,0.628,0.25,0.008
431,AGN,AGN,0.978,0.002,0.02,0.0
432,AGN,AGN,0.987,0.008,0.005,0.0
433,STAR,STAR,0.04,0.942,0.01,0.008
434,STAR,STAR,0.002,0.97,0.028,0.0
435,STAR,STAR,0.009,0.931,0.054,0.006
436,STAR,STAR,0.214,0.72,0.026,0.04
437,AGN,AGN,0.946,0.044,0.01,0.0
438,AGN,AGN,0.998,0.002,0.0,0.0
439,STAR,AGN,0.626,0.364,0.01,0.0
440,STAR,STAR,0.242,0.604,0.128,0.026
441,AGN,AGN,0.996,0.002,0.002,0.0
442,STAR,STAR,0.03,0.856,0.11,0.004
443,STAR,STAR,0.062,0.756,0.162,0.02
444,ULX,ULX,0.014,0.448,0.538,0.0
445,STAR,STAR,0.014,0.926,0.05,0.01
446,STAR,STAR,0.026,0.778,0.028,0.168
447,AGN,STAR,0.326,0.528,0.13,0.016
448,AGN,AGN,0.996,0.0,0.004,0.0
449,AGN,AGN,0.564,0.33,0.092,0.014
450,AGN,AGN,0.928,0.062,0.01,0.0
451,STAR,STAR,0.139,0.77,0.059,0.032
452,STAR,STAR,0.02,0.878,0.094,0.008
453,AGN,AGN,0.992,0.002,0.006,0.0
454,STAR,STAR,0.164,0.734,0.05,0.052
455,AGN,AGN,0.982,0.002,0.016,0.0
456,STAR,STAR,0.174,0.68,0.124,0.022
457,STAR,STAR,0.01,0.658,0.326,0.006
458,AGN,AGN,0.718,0.156,0.096,0.03
459,STAR,STAR,0.0,0.976,0.024,0.0
460,STAR,STAR,0.0,1.0,0.0,0.0
461,YSO,YSO,0.0,0.004,0.0,0.996
462,AGN,AGN,0.986,0.006,0.008,0.0
463,AGN,STAR,0.298,0.526,0.156,0.02
464,AGN,AGN,0.6618333333333334,0.226,0.10616666666666667,0.006
465,AGN,AGN,0.782,0.166,0.016,0.036
466,STAR,STAR,0.066,0.818,0.08,0.036
467,ULX,STAR,0.368,0.402,0.218,0.012
468,STAR,STAR,0.018,0.888,0.094,0.0
469,STAR,STAR,0.268,0.73,0.002,0.0
470,AGN,AGN,0.9706666666666668,0.01,0.019333333333333334,0.0
471,AGN,AGN,0.93,0.052,0.018,0.0
472,STAR,STAR,0.0,0.916,0.084,0.0
473,AGN,AGN,0.9206666666666666,0.06133333333333334,0.018,0.0
474,STAR,STAR,0.3053333333333333,0.392,0.2986666666666667,0.004
475,AGN,AGN,0.893,0.078,0.029,0.0
476,AGN,AGN,0.926,0.018,0.056,0.0
477,AGN,AGN,0.962,0.0,0.038,0.0
478,STAR,STAR,0.006,0.78,0.214,0.0
479,STAR,STAR,0.02,0.96,0.018,0.002
480,AGN,AGN,0.9601666666666666,0.0,0.03983333333333334,0.0
481,STAR,STAR,0.0,0.97,0.03,0.0
482,STAR,STAR,0.0,0.984,0.016,0.0
483,AGN,AGN,0.81,0.18,0.01,0.0
484,AGN,AGN,0.892,0.058,0.004,0.046
485,AGN,AGN,0.974,0.002,0.024,0.0
486,STAR,STAR,0.006,0.896,0.098,0.0
487,STAR,STAR,0.042,0.884,0.062,0.012
488,AGN,STAR,0.23,0.452,0.314,0.004
489,STAR,STAR,0.0,0.99,0.01,0.0
490,AGN,AGN,0.714,0.11,0.104,0.072
491,STAR,STAR,0.014,0.962,0.022,0.002
492,STAR,STAR,0.054,0.738,0.186,0.022
493,AGN,AGN,0.728,0.074,0.042,0.156
494,YSO,YSO,0.158,0.112,0.012,0.718
495,STAR,STAR,0.002,0.994,0.004,0.0
496,STAR,STAR,0.29,0.556,0.038,0.116
497,AGN,AGN,1.0,0.0,0.0,0.0
498,STAR,STAR,0.002,0.984,0.014,0.0
499,STAR,STAR,0.016,0.96,0.02,0.004
500,AGN,AGN,0.684,0.17,0.14,0.006
501,STAR,STAR,0.0,0.988,0.0,0.012
502,STAR,STAR,0.0,0.996,0.002,0.002
503,STAR,STAR,0.002,0.852,0.146,0.0
504,STAR,STAR,0.066,0.824,0.094,0.016
505,STAR,STAR,0.004,0.952,0.018,0.026
506,STAR,STAR,0.006,0.982,0.01,0.002
507,STAR,STAR,0.02,0.854,0.102,0.024
508,STAR,STAR,0.25993333333333335,0.566,0.16806666666666667,0.006
509,STAR,STAR,0.0,0.978,0.0,0.022
510,STAR,STAR,0.0,0.984,0.016,0.0
511,AGN,AGN,1.0,0.0,0.0,0.0
512,AGN,AGN,0.954,0.046,0.0,0.0
513,STAR,STAR,0.002,0.964,0.034,0.0
514,AGN,AGN,0.996,0.0,0.004,0.0
515,STAR,STAR,0.006666666666666667,0.9433333333333334,0.048,0.002
516,AGN,AGN,0.908,0.064,0.014,0.014
517,STAR,STAR,0.006,0.928,0.066,0.0
518,STAR,STAR,0.02,0.754,0.004,0.222
519,AGN,AGN,0.9486666666666668,0.02,0.03133333333333333,0.0
520,STAR,STAR,0.0,0.998,0.002,0.0
521,STAR,STAR,0.0,0.93,0.07,0.0
522,YSO,YSO,0.018,0.054,0.014,0.914
523,AGN,AGN,0.654,0.288,0.032,0.026
524,AGN,AGN,1.0,0.0,0.0,0.0
525,STAR,STAR,0.052,0.824,0.114,0.01
526,YSO,YSO,0.02,0.074,0.002,0.904
527,AGN,AGN,0.934,0.004,0.062,0.0
528,STAR,STAR,0.008,0.93,0.056,0.006
529,AGN,AGN,0.518,0.292,0.122,0.068
530,AGN,AGN,0.994,0.0,0.006,0.0
531,AGN,YSO,0.368,0.08,0.042,0.51
532,STAR,STAR,0.006,0.99,0.004,0.0
533,STAR,YSO,0.232,0.072,0.02,0.676
534,AGN,AGN,0.9872000000000001,0.004,0.0088,0.0
535,STAR,STAR,0.0,0.982,0.018,0.0
536,STAR,STAR,0.188,0.668,0.14,0.004
537,AGN,STAR,0.186,0.402,0.398,0.014
538,AGN,AGN,0.9428,0.006,0.0512,0.0
539,ULX,ULX,0.024,0.374,0.598,0.004
540,STAR,STAR,0.177,0.791,0.016,0.016
541,AGN,AGN,0.942,0.02,0.038,0.0
542,STAR,STAR,0.0,0.994,0.006,0.0
543,AGN,STAR,0.112,0.598,0.274,0.016
544,AGN,AGN,0.986,0.01,0.004,0.0
545,AGN,AGN,0.982,0.008,0.01,0.0
